Hà Giang,2022-09-26,07:42:00,25,Bầu trời quang đãng,81,10.0,0.9,0,Rất kém
Cao Bằng,2022-09-26,07:42:00,26,Bầu trời quang đãng,81,10.0,0.96,0,Rất kém
Bắc Kạn,2022-09-26,07:42:00,23,Bầu trời quang đãng,95,10.0,0.76,0,Rất kém
Tuyên Quang,2022-09-26,07:42:00,23,Mây rải rác,98,10.0,0.56,0,Rất kém
Thái Nguyên,2022-09-26,07:42:00,24,Bầu trời quang đãng,83,10.0,1.86,0.45,Rất kém
Lạng Sơn,2022-09-26,07:42:00,23,Bầu trời quang đãng,89,10.0,1.18,0,Rất kém
Quảng Ninh,2022-09-26,07:42:00,25,Mây cụm,80,10.0,1.39,0,Rất kém
Bắc Giang,2022-09-26,07:42:00,24,Mây thưa,86,10.0,2.12,0,Rất kém
Phú Thọ,2022-09-26,07:42:00,23,Bầu trời quang đãng,92,10.0,1.7,0.42,Kém
Lào Cai,2022-09-26,07:42:00,24,Mây cụm,90,10.0,0.39,0,Khá
Điện Biên,2022-09-26,07:42:00,24,Mây thưa,82,10.0,0.91,0,Khá
Lai Châu,2022-09-26,07:42:00,22,Mây rải rác,95,10.0,0.4,0,Khá
Sơn La,2022-09-26,07:42:00,20,Mây thưa,96,10.0,0.27,0.37,Kém
Yên Bái,2022-09-26,07:42:00,24,Bầu trời quang đãng,92,10.0,1.56,0,Kém
Hoà Bình,2022-09-26,07:42:00,24,Bầu trời quang đãng,91,10.0,1.34,0,Rất kém
Hà Nội,2022-09-26,07:42:00,24,Sương mờ,94,2.0,1.54,0,Rất kém
Vĩnh Phúc,2022-09-26,07:42:00,24,Bầu trời quang đãng,84,10.0,2.87,0,Rất kém
Bắc Ninh,2022-09-26,07:42:00,24,Mây thưa,79,10.0,2.99,0,Rất kém
Hải Dương,2022-09-26,07:42:00,25,Mây thưa,89,10.0,3.32,0.48,Rất kém
Hải Phòng,2022-09-26,07:42:00,25,Sương mờ,100,4.0,2.57,0,Rất kém
Hưng Yên,2022-09-26,07:42:00,26,Mây thưa,81,10.0,3.3,0,Rất kém
Thái Bình,2022-09-26,07:42:00,27,Mây rải rác,80,10.0,4.26,1.95,Rất kém
Hà Nam,2022-09-26,07:42:00,26,Mây thưa,80,10.0,2.86,0.45,Rất kém
Nam Định,2022-09-26,07:42:00,26,Mây thưa,80,10.0,3.64,0,Rất kém
Ninh Bình,2022-09-26,07:42:00,26,Mây thưa,80,10.0,2.22,0,Rất kém
Thanh Hóa,2022-09-26,07:42:00,25,Mây cụm,85,10.0,2.23,0.46,Rất kém
Nghệ An,2022-09-26,07:42:00,24,Mây rải rác,90,10.0,2.42,0,Trung bình
Hà Tĩnh,2022-09-26,07:42:00,25,Mây cụm,87,10.0,2.53,0,Kém
Quảng Bình,2022-09-26,07:42:00,25,Mây cụm,90,10.0,2.31,0,Tốt
Quảng Trị,2022-09-26,07:42:00,26,Mây cụm,85,10.0,2.05,0.6,Tốt
Thừa Thiên Huế,2022-09-26,07:42:00,24,Mây cụm,100,9.0,2.06,2.29,Khá
Đà Nẵng,2022-09-26,07:42:00,25,Mây cụm,94,8.0,1.03,0,Khá
Quảng Nam,2022-09-26,07:42:00,24,Nhiều mây,94,10.0,2.8,0.25,Khá
Quảng Ngãi,2022-09-26,07:42:00,24,Nhiều mây,91,10.0,2.93,0.08,Khá
Bình Định,2022-09-26,07:42:00,26,Nhiều mây,82,10.0,2.79,0.75,Khá
Phú Yên,2022-09-26,07:42:00,24,Mưa nhẹ,88,10.0,2.22,0,Tốt
Khánh Hòa,2022-09-26,07:42:00,25,Nhiều mây,77,10.0,1.47,0.78,Khá
Ninh Thuận,2022-09-26,07:42:00,27,Mưa nhẹ,76,10.0,0.99,0,Tốt
Bình Thuận,2022-09-26,07:42:00,24,Nhiều mây,83,10.0,1.54,0,Tốt
Kon Tum,2022-09-26,07:42:00,22,Nhiều mây,92,10.0,0.8,2.16,Tốt
Gia Lai,2022-09-26,07:42:00,24,Nhiều mây,85,10.0,1.6,0,Tốt
Đắk Lắk,2022-09-26,07:42:00,22,Nhiều mây,96,10.0,1.62,0,Tốt
Đắk Nông,2022-09-26,07:42:00,22,Nhiều mây,96,10.0,1.62,0,Tốt
Lâm Đồng,2022-09-26,07:42:00,23,Mưa nhẹ,77,10.0,1.29,0.71,Tốt
Bình Phước,2022-09-26,07:42:00,23,Nhiều mây,97,10.0,0.53,1.46,Tốt
Tây Ninh,2022-09-26,07:42:00,25,Mưa vừa,86,10.0,1.45,0,Khá
Bình Dương,2022-09-26,07:42:00,25,Mây cụm,94,7.0,0.51,0,Khá
Đồng Nai,2022-09-26,07:42:00,25,Nhiều mây,91,10.0,1.97,0.33,Kém
Bà Rịa - Vũng Tàu,2022-09-26,07:42:00,24,Nhiều mây,93,10.0,1.86,0,Rất kém
Hồ Chí Minh,2022-09-26,07:42:00,25,Mây cụm,94,7.0,0.51,0,Kém
Long An,2022-09-26,07:42:00,25,Nhiều mây,90,10.0,1.54,0,Kém
Tiền Giang,2022-09-26,07:42:00,24,Nhiều mây,94,10.0,1.39,0,Kém
Bến Tre,2022-09-26,07:42:00,24,Nhiều mây,95,10.0,1.32,0,Kém
Trà Vinh,2022-09-26,07:42:00,24,Nhiều mây,92,10.0,1.56,0.47,Kém
Vĩnh Long,2022-09-26,07:42:00,25,Nhiều mây,91,10.0,1.57,0,Kém
Đồng Tháp,2022-09-26,07:42:00,25,Nhiều mây,88,10.0,1.36,0,Kém
An Giang,2022-09-26,07:42:00,25,Nhiều mây,89,10.0,1.4,0.14,Trung bình
Kiên Giang,2022-09-26,07:42:00,25,Nhiều mây,90,10.0,2.45,1.89,Tốt
Cần Thơ,2022-09-26,07:42:00,25,Mây rải rác,100,8.0,0.51,0,Trung bình
Hậu Giang,2022-09-26,07:42:00,25,Nhiều mây,90,10.0,1.95,1.89,Khá
Sóc Trăng,2022-09-26,07:42:00,26,Nhiều mây,88,10.0,2.07,0,Khá
Bạc Liêu,2022-09-26,07:42:00,26,Nhiều mây,83,10.0,2.14,1.83,Khá
Cà Mau,2022-09-26,07:42:00,28,Nhiều mây,71,10.0,0.67,0,Tốt