Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Hà Giang,11/09/2022,09:15,28°,Nhiều mây,21°/31°,72%,10 km,0.41 km/giờ,4.58,Tốt
Cao Bằng,11/09/2022,09:15,23°,Mưa nhẹ,21°/28°,97%,10 km,0.88 km/giờ,2.46,Tốt
Bắc Kạn,11/09/2022,09:15,26°,Mưa nhẹ,22°/29°,94%,6.36 km,0.06 km/giờ,4.68,Tốt
Tuyên Quang,11/09/2022,09:15,26°,Mây cụm,22°/29°,89%,10 km,0.44 km/giờ,4.78,Khá
Thái Nguyên,11/09/2022,09:15,28°,Mưa cường độ nặng,23°/32°,83%,10 km,0.37 km/giờ,4.8,Kém
Lạng Sơn,11/09/2022,09:15,27°,Mưa nhẹ,22°/30°,74%,10 km,1.16 km/giờ,4.47,Trung bình
Quảng Ninh,11/09/2022,09:15,29°,Nhiều mây,24°/33°,74%,10 km,0.95 km/giờ,5.19,Kém
Bắc Giang,11/09/2022,09:15,28°,Mưa nhẹ,24°/32°,73%,10 km,0.19 km/giờ,4.99,Kém
Phú Thọ,11/09/2022,09:15,27°,Nhiều mây,23°/32°,85%,10 km,1.25 km/giờ,1.47,Khá
Lào Cai,11/09/2022,09:15,27°,Mây cụm,22°/32°,85%,10 km,0.35 km/giờ,2.43,Tốt
Điện Biên,11/09/2022,09:15,24°,Mưa vừa,20°/29°,88%,10 km,0.4 km/giờ,2.2,Tốt
Lai Châu,11/09/2022,09:15,27°,Nhiều mây,22°/29°,75%,10 km,0.31 km/giờ,2.22,Tốt
Sơn La,11/09/2022,09:15,24°,Nhiều mây,19°/28°,85%,10 km,0.53 km/giờ,4.59,Tốt
Yên Bái,11/09/2022,09:15,26°,Nhiều mây,23°/30°,87%,9.92 km,0.82 km/giờ,4.54,Khá
Hoà Bình,11/09/2022,09:15,29°,Mây rải rác,24°/31°,78%,10 km,0.29 km/giờ,4.79,Kém
Hà Nội,11/09/2022,09:15,28°,Mây rải rác,24°/33°,83%,8 km,2.57 km/giờ,4.43,Rất kém
Vĩnh Phúc,11/09/2022,09:15,28°,Mưa vừa,23°/32°,80%,10 km,0.18 km/giờ,4.43,Kém
Bắc Ninh,11/09/2022,09:15,28°,Mây cụm,24°/33°,73%,10 km,0.29 km/giờ,4.99,Rất kém
Hải Dương,11/09/2022,09:15,29°,Mây cụm,24°/32°,74%,10 km,0.39 km/giờ,5,Rất kém
Hải Phòng,11/09/2022,09:15,29°,Mây cụm,24°/32°,84%,10 km,1.54 km/giờ,4.86,Rất kém
Hưng Yên,11/09/2022,09:15,29°,Mây cụm,24°/33°,72%,10 km,0.68 km/giờ,5,Rất kém
Thái Bình,11/09/2022,09:15,29°,Mây cụm,24°/31°,75%,10 km,0.84 km/giờ,5.01,Rất kém
Hà Nam,11/09/2022,09:15,29°,Mây cụm,24°/33°,72%,10 km,0.61 km/giờ,4.87,Rất kém
Nam Định,11/09/2022,09:15,29°,Mưa nhẹ,24°/32°,74%,10 km,0.92 km/giờ,5.01,Rất kém
Ninh Bình,11/09/2022,09:15,29°,Mây rải rác,24°/32°,73%,10 km,1.09 km/giờ,4.95,Rất kém
Thanh Hóa,11/09/2022,09:15,28°,Nhiều mây,24°/32°,77%,10 km,1.04 km/giờ,4.86,Rất kém
Nghệ An,11/09/2022,09:15,27°,Nhiều mây,24°/30°,82%,10 km,1.14 km/giờ,4.56,Rất kém
Hà Tĩnh,11/09/2022,09:15,28°,Nhiều mây,24°/31°,79%,10 km,0.48 km/giờ,3.69,Rất kém
Quảng Bình,11/09/2022,09:15,29°,Mây rải rác,23°/32°,71%,10 km,0.98 km/giờ,3.71,Tốt
Quảng Trị,11/09/2022,09:15,29°,Mây cụm,23°/32°,71%,10 km,1.16 km/giờ,5.32,Tốt
Thừa Thiên Huế,11/09/2022,09:15,29°,Mây thưa,23°/31°,74%,10 km,2.06 km/giờ,5.4,Tốt
Đà Nẵng,11/09/2022,09:15,30°,Mây thưa,25°/30°,70%,10 km,2.06 km/giờ,5.47,Khá
Quảng Nam,11/09/2022,09:15,29°,Mây thưa,24°/30°,72%,10 km,1.85 km/giờ,5.83,Khá
Quảng Ngãi,11/09/2022,09:15,29°,Mây rải rác,24°/31°,72%,10 km,1.69 km/giờ,5.94,Trung bình
Bình Định,11/09/2022,09:15,28°,Mây rải rác,25°/29°,76%,10 km,1.75 km/giờ,6.1,Khá
Phú Yên,11/09/2022,09:15,29°,Mây cụm,21°/32°,63%,10 km,0.89 km/giờ,6.23,Tốt
Khánh Hòa,11/09/2022,09:15,28°,Nhiều mây,23°/32°,63%,10 km,0.94 km/giờ,6.44,Khá
Ninh Thuận,11/09/2022,09:15,29°,Mây rải rác,24°/31°,65%,10 km,1.18 km/giờ,6.66,Khá
Bình Thuận,11/09/2022,09:15,29°,Mây rải rác,22°/31°,62%,10 km,1.63 km/giờ,6.47,Khá
Kon Tum,11/09/2022,09:15,27°,Mây rải rác,20°/30°,72%,10 km,0.55 km/giờ,6.13,Tốt
Gia Lai,11/09/2022,09:15,26°,Mây rải rác,20°/29°,74%,10 km,1.29 km/giờ,6.27,Tốt
Đắk Lắk,11/09/2022,09:15,26°,Nhiều mây,20°/29°,68%,10 km,1.52 km/giờ,6.03,Tốt
Đắk Nông,11/09/2022,09:15,26°,Nhiều mây,20°/29°,68%,10 km,1.52 km/giờ,6.03,Tốt
Lâm Đồng,11/09/2022,09:15,27°,Mây thưa,18°/27°,59%,10 km,1.12 km/giờ,6.47,Khá
Bình Phước,11/09/2022,09:15,28°,Mây cụm,22°/29°,73%,10 km,0.71 km/giờ,5.75,Khá
Tây Ninh,11/09/2022,09:15,29°,Mây cụm,23°/33°,73%,10 km,3.49 km/giờ,5.63,Rất kém
Bình Dương,11/09/2022,09:15,30°,Mây rải rác,24°/32°,70%,10 km,1.54 km/giờ,5.75,Kém
Đồng Nai,11/09/2022,09:15,30°,Mây cụm,23°/32°,70%,10 km,2.12 km/giờ,5.75,Khá
Bà Rịa - Vũng Tàu,11/09/2022,09:15,29°,Mây cụm,23°/30°,69%,10 km,3.28 km/giờ,5.96,Tốt
Hồ Chí Minh,11/09/2022,09:15,30°,Mây rải rác,24°/32°,70%,10 km,1.54 km/giờ,5.75,Kém
Long An,11/09/2022,09:15,29°,Nhiều mây,23°/30°,79%,10 km,2.35 km/giờ,5.48,Kém
Tiền Giang,11/09/2022,09:15,28°,Mây cụm,23°/29°,79%,10 km,2.01 km/giờ,5.25,Kém
Bến Tre,11/09/2022,09:15,28°,Mây cụm,23°/29°,79%,10 km,1.83 km/giờ,5.25,Kém
Trà Vinh,11/09/2022,09:15,29°,Mây cụm,24°/29°,76%,10 km,1.53 km/giờ,4.79,Kém
Vĩnh Long,11/09/2022,09:15,28°,Nhiều mây,23°/30°,74%,10 km,1.86 km/giờ,4.82,Kém
Đồng Tháp,11/09/2022,09:15,28°,Nhiều mây,23°/30°,75%,10 km,1.9 km/giờ,4.82,Rất kém
An Giang,11/09/2022,09:15,28°,Nhiều mây,24°/29°,76%,10 km,1.69 km/giờ,4.58,Rất kém
Kiên Giang,11/09/2022,09:15,28°,Nhiều mây,25°/28°,75%,10 km,3.68 km/giờ,4.79,Khá
Cần Thơ,11/09/2022,09:15,28°,Mây rải rác,23°/29°,89%,10 km,1.03 km/giờ,4.82,Rất kém
Hậu Giang,11/09/2022,09:15,28°,Nhiều mây,23°/28°,78%,10 km,2.89 km/giờ,4.79,Khá
Sóc Trăng,11/09/2022,09:15,27°,Nhiều mây,23°/27°,82%,10 km,1.4 km/giờ,4.38,Kém
Bạc Liêu,11/09/2022,09:15,26°,Nhiều mây,25°/26°,85%,4.14 km,2.86 km/giờ,2.17,Tốt
Cà Mau,11/09/2022,09:15,27°,Nhiều mây,23°/27°,81%,10 km,4.04 km/giờ,4.78,Tốt
Hà Giang,11/09/2022,10:15,30°,Nhiều mây,21°/31°,64%,10 km,0.46 km/giờ,7.53,Tốt
Cao Bằng,11/09/2022,10:15,25°,Mưa nhẹ,21°/28°,92%,10 km,0.99 km/giờ,3.97,Tốt
Bắc Kạn,11/09/2022,10:15,27°,Mưa nhẹ,22°/29°,93%,6.13 km,0.35 km/giờ,7.62,Tốt
Tuyên Quang,11/09/2022,10:15,28°,Mây cụm,22°/29°,84%,10 km,0.68 km/giờ,7.85,Khá
Thái Nguyên,11/09/2022,10:15,29°,Mưa vừa,23°/32°,76%,10 km,0.93 km/giờ,7.82,Kém
Lạng Sơn,11/09/2022,10:15,29°,Mây cụm,22°/30°,67%,10 km,1.37 km/giờ,7.17,Trung bình
Quảng Ninh,11/09/2022,10:15,31°,Nhiều mây,24°/33°,61%,10 km,0.34 km/giờ,8.24,Kém
Bắc Giang,11/09/2022,10:15,29°,Mưa nhẹ,24°/32°,67%,10 km,0.74 km/giờ,8.06,Kém
Phú Thọ,11/09/2022,10:15,29°,Nhiều mây,23°/31°,77%,10 km,0.86 km/giờ,2.42,Khá
Lào Cai,11/09/2022,10:15,29°,Mây cụm,22°/31°,79%,10 km,0.33 km/giờ,4.1,Tốt
Điện Biên,11/09/2022,10:15,25°,Mưa nhẹ,20°/28°,83%,10 km,0.74 km/giờ,3.75,Tốt
Lai Châu,11/09/2022,10:15,28°,Nhiều mây,22°/29°,74%,10 km,0.3 km/giờ,3.78,Tốt
Sơn La,11/09/2022,10:15,26°,Nhiều mây,19°/28°,77%,10 km,0.48 km/giờ,7.76,Tốt
Yên Bái,11/09/2022,10:15,28°,Nhiều mây,23°/30°,78%,10 km,0.52 km/giờ,7.52,Khá
Hoà Bình,11/09/2022,10:15,30°,Mây rải rác,24°/31°,71%,10 km,0.92 km/giờ,7.89,Kém
Hà Nội,11/09/2022,10:15,29°,Mây thưa,24°/33°,74%,9 km,2.06 km/giờ,7.22,Rất kém
Vĩnh Phúc,11/09/2022,10:15,29°,Mưa nhẹ,23°/32°,73%,10 km,0.27 km/giờ,7.22,Kém
Bắc Ninh,11/09/2022,10:15,29°,Mưa vừa,24°/33°,67%,10 km,0.46 km/giờ,8.06,Rất kém
Hải Dương,11/09/2022,10:15,31°,Mưa nhẹ,24°/32°,68%,10 km,0.31 km/giờ,8.09,Rất kém
Hải Phòng,11/09/2022,10:15,31°,Mây cụm,24°/32°,70%,10 km,1.54 km/giờ,7.79,Rất kém
Hưng Yên,11/09/2022,10:15,31°,Mây cụm,24°/33°,66%,10 km,0.3 km/giờ,8.09,Rất kém
Thái Bình,11/09/2022,10:15,30°,Mây cụm,24°/31°,69%,10 km,0.44 km/giờ,8.11,Rất kém
Hà Nam,11/09/2022,10:15,31°,Mây cụm,24°/33°,66%,10 km,0.3 km/giờ,7.94,Rất kém
Nam Định,11/09/2022,10:15,30°,Mây cụm,24°/32°,68%,10 km,0.56 km/giờ,8.11,Rất kém
Ninh Bình,11/09/2022,10:15,30°,Mây rải rác,24°/32°,67%,10 km,0.9 km/giờ,8.07,Rất kém
Thanh Hóa,11/09/2022,10:15,30°,Nhiều mây,24°/31°,70%,10 km,0.67 km/giờ,7.92,Rất kém
Nghệ An,11/09/2022,10:15,28°,Nhiều mây,24°/30°,78%,10 km,0.77 km/giờ,7.44,Kém
Hà Tĩnh,11/09/2022,10:15,29°,Nhiều mây,24°/31°,72%,10 km,0.37 km/giờ,6.03,Rất kém
Quảng Bình,11/09/2022,10:15,31°,Mây rải rác,23°/32°,63%,10 km,1.87 km/giờ,6.01,Tốt
Quảng Trị,11/09/2022,10:15,30°,Mây cụm,23°/32°,64%,10 km,1.97 km/giờ,8.48,Tốt
Thừa Thiên Huế,11/09/2022,10:15,30°,Mây thưa,23°/31°,70%,10 km,1.03 km/giờ,8.54,Khá
Đà Nẵng,11/09/2022,10:15,32°,Mây thưa,25°/32°,62%,10 km,0.51 km/giờ,8.57,Khá
Quảng Nam,11/09/2022,10:15,30°,Mây rải rác,24°/30°,65%,10 km,1.79 km/giờ,9.15,Khá
Quảng Ngãi,11/09/2022,10:15,30°,Mây rải rác,24°/31°,65%,10 km,1.64 km/giờ,9.23,Khá
Bình Định,11/09/2022,10:15,29°,Mây rải rác,25°/29°,74%,10 km,2.46 km/giờ,9.41,Khá
Phú Yên,11/09/2022,10:15,30°,Mây cụm,21°/32°,58%,10 km,1.36 km/giờ,9.61,Tốt
Khánh Hòa,11/09/2022,10:15,30°,Nhiều mây,23°/32°,58%,10 km,1.41 km/giờ,9.94,Khá
Ninh Thuận,11/09/2022,10:15,31°,Mây rải rác,24°/31°,60%,10 km,1.71 km/giờ,10.38,Khá
Bình Thuận,11/09/2022,10:15,30°,Mây rải rác,22°/31°,56%,10 km,2.31 km/giờ,10.17,Khá
Kon Tum,11/09/2022,10:15,28°,Mây rải rác,20°/30°,64%,10 km,0.88 km/giờ,9.62,Tốt
Gia Lai,11/09/2022,10:15,28°,Mây rải rác,20°/29°,69%,10 km,1.84 km/giờ,9.76,Tốt
Đắk Lắk,11/09/2022,10:15,28°,Nhiều mây,20°/29°,59%,10 km,1.54 km/giờ,9.47,Tốt
Đắk Nông,11/09/2022,10:15,28°,Nhiều mây,20°/29°,59%,10 km,1.54 km/giờ,9.47,Tốt
Lâm Đồng,11/09/2022,10:15,28°,Mây thưa,18°/28°,54%,10 km,1.8 km/giờ,10.17,Khá
Bình Phước,11/09/2022,10:15,30°,Mây rải rác,22°/30°,65%,10 km,0.91 km/giờ,9.28,Khá
Tây Ninh,11/09/2022,10:15,30°,Mây cụm,23°/32°,67%,10 km,3.6 km/giờ,9.17,Rất kém
Bình Dương,11/09/2022,10:15,30°,Mây rải rác,24°/32°,74%,10 km,1.54 km/giờ,9.29,Khá
Đồng Nai,11/09/2022,10:15,30°,Mây cụm,23°/32°,63%,10 km,2.36 km/giờ,9.29,Khá
Bà Rịa - Vũng Tàu,11/09/2022,10:15,30°,Nhiều mây,23°/30°,64%,10 km,3.2 km/giờ,9.53,Tốt
Hồ Chí Minh,11/09/2022,10:15,30°,Mây rải rác,24°/31°,74%,10 km,1.54 km/giờ,9.29,Kém
Long An,11/09/2022,10:15,30°,Mây cụm,23°/30°,71%,10 km,3.04 km/giờ,8.94,Kém
Tiền Giang,11/09/2022,10:15,29°,Mây cụm,23°/30°,73%,10 km,2.25 km/giờ,8.55,Rất kém
Bến Tre,11/09/2022,10:15,29°,Mây cụm,23°/29°,74%,10 km,2 km/giờ,8.55,Rất kém
Trà Vinh,11/09/2022,10:15,29°,Mây cụm,24°/29°,76%,10 km,2.54 km/giờ,7.82,Kém
Vĩnh Long,11/09/2022,10:15,29°,Nhiều mây,23°/29°,69%,10 km,2.26 km/giờ,7.92,Kém
Đồng Tháp,11/09/2022,10:15,29°,Nhiều mây,23°/30°,70%,10 km,2.28 km/giờ,7.92,Kém
An Giang,11/09/2022,10:15,29°,Nhiều mây,24°/29°,70%,10 km,1.71 km/giờ,7.61,Rất kém
Kiên Giang,11/09/2022,10:15,29°,Nhiều mây,25°/29°,73%,10 km,4.37 km/giờ,7.96,Khá
Cần Thơ,11/09/2022,10:15,29°,Mây rải rác,23°/29°,79%,10 km,1.03 km/giờ,7.92,Rất kém
Hậu Giang,11/09/2022,10:15,29°,Nhiều mây,23°/29°,79%,10 km,2.88 km/giờ,7.96,Khá
Sóc Trăng,11/09/2022,10:15,27°,Nhiều mây,23°/27°,84%,10 km,2.43 km/giờ,7.21,Kém
Bạc Liêu,11/09/2022,10:15,25°,Nhiều mây,25°/27°,89%,7.39 km,1.8 km/giờ,3.58,Tốt
Cà Mau,11/09/2022,10:15,27°,Nhiều mây,23°/27°,81%,6.2 km,3.69 km/giờ,7.94,Tốt
Hà Giang,11/09/2022,11:15,32°,Mây cụm,21°/32°,57%,10 km,0.82 km/giờ,10.76,Tốt
Cao Bằng,11/09/2022,11:15,27°,Nhiều mây,21°/29°,83%,10 km,1.24 km/giờ,7.26,Tốt
Bắc Kạn,11/09/2022,11:15,27°,Nhiều mây,22°/30°,91%,6.41 km,0.5 km/giờ,10.27,Tốt
Tuyên Quang,11/09/2022,11:15,28°,Mây cụm,22°/29°,82%,10 km,0.29 km/giờ,10.5,Tốt
Thái Nguyên,11/09/2022,11:15,29°,Mưa nhẹ,23°/31°,68%,10 km,0.87 km/giờ,9.31,Kém
Lạng Sơn,11/09/2022,11:15,30°,Mây cụm,22°/30°,63%,10 km,1.5 km/giờ,10.29,Kém
Quảng Ninh,11/09/2022,11:15,32°,Mưa nhẹ,24°/33°,54%,10 km,0.25 km/giờ,10.55,Kém
Bắc Giang,11/09/2022,11:15,29°,Mây cụm,24°/32°,62%,10 km,1.09 km/giờ,10.38,Kém
Phú Thọ,11/09/2022,11:15,30°,Nhiều mây,23°/31°,69%,10 km,0.28 km/giờ,8.96,Khá
Lào Cai,11/09/2022,11:15,30°,Mây cụm,22°/31°,75%,10 km,0.76 km/giờ,8.43,Tốt
Điện Biên,11/09/2022,11:15,26°,Nhiều mây,20°/28°,79%,10 km,0.71 km/giờ,8.57,Tốt
Lai Châu,11/09/2022,11:15,29°,Nhiều mây,22°/29°,75%,10 km,0.41 km/giờ,5.56,Tốt
Sơn La,11/09/2022,11:15,27°,Nhiều mây,19°/28°,75%,10 km,0.7 km/giờ,10.15,Tốt
Yên Bái,11/09/2022,11:15,29°,Nhiều mây,23°/30°,73%,10 km,0.71 km/giờ,10.05,Khá
Hoà Bình,11/09/2022,11:15,31°,Mây rải rác,24°/31°,66%,10 km,1.19 km/giờ,10.55,Trung bình
Hà Nội,11/09/2022,11:15,29°,Mưa nhẹ,24°/32°,79%,10 km,2.06 km/giờ,10.25,Kém
Vĩnh Phúc,11/09/2022,11:15,29°,Mây rải rác,23°/32°,67%,10 km,0.69 km/giờ,10.25,Kém
Bắc Ninh,11/09/2022,11:15,29°,Mưa nhẹ,24°/32°,63%,10 km,0.88 km/giờ,10.38,Rất kém
Hải Dương,11/09/2022,11:15,32°,Mưa nhẹ,24°/32°,63%,10 km,0.53 km/giờ,10.61,Rất kém
Hải Phòng,11/09/2022,11:15,31°,Mây rải rác,24°/31°,66%,10 km,2.06 km/giờ,10.24,Rất kém
Hưng Yên,11/09/2022,11:15,32°,Mây cụm,24°/33°,60%,10 km,0.49 km/giờ,10.61,Rất kém
Thái Bình,11/09/2022,11:15,31°,Mây cụm,24°/31°,64%,10 km,0.37 km/giờ,10.59,Rất kém
Hà Nam,11/09/2022,11:15,32°,Mây cụm,24°/33°,61%,10 km,0.4 km/giờ,10.51,Rất kém
Nam Định,11/09/2022,11:15,31°,Mây cụm,24°/32°,63%,10 km,0.55 km/giờ,10.59,Rất kém
Ninh Bình,11/09/2022,11:15,32°,Mây rải rác,24°/32°,62%,10 km,0.71 km/giờ,10.72,Rất kém
Thanh Hóa,11/09/2022,11:15,31°,Nhiều mây,24°/31°,65%,10 km,0.59 km/giờ,10.64,Kém
Nghệ An,11/09/2022,11:15,29°,Nhiều mây,24°/30°,76%,10 km,0.82 km/giờ,10,Kém
Hà Tĩnh,11/09/2022,11:15,30°,Nhiều mây,24°/31°,68%,10 km,1.54 km/giờ,8.78,Kém
Quảng Bình,11/09/2022,11:15,31°,Mây rải rác,23°/32°,59%,10 km,2.41 km/giờ,10.44,Tốt
Quảng Trị,11/09/2022,11:15,31°,Mây cụm,23°/32°,60%,10 km,2.37 km/giờ,10.86,Tốt
Thừa Thiên Huế,11/09/2022,11:15,32°,Mây thưa,23°/32°,58%,10 km,1.03 km/giờ,10.43,Tốt
Đà Nẵng,11/09/2022,11:15,32°,Mây thưa,25°/32°,62%,10 km,2.57 km/giờ,10.92,Tốt
Quảng Nam,11/09/2022,11:15,30°,Mây rải rác,24°/30°,62%,10 km,2.5 km/giờ,11.66,Khá
Quảng Ngãi,11/09/2022,11:15,31°,Mây rải rác,24°/31°,62%,10 km,2.45 km/giờ,11.64,Tốt
Bình Định,11/09/2022,11:15,29°,Mây rải rác,25°/29°,77%,10 km,2.99 km/giờ,11.68,Tốt
Phú Yên,11/09/2022,11:15,31°,Mây cụm,21°/32°,57%,10 km,1.9 km/giờ,10.53,Tốt
Khánh Hòa,11/09/2022,11:15,31°,Nhiều mây,23°/32°,55%,10 km,2.11 km/giờ,12.35,Khá
Ninh Thuận,11/09/2022,11:15,31°,Mây rải rác,24°/31°,60%,10 km,3.23 km/giờ,11.28,Khá
Bình Thuận,11/09/2022,11:15,31°,Mây rải rác,22°/32°,52%,10 km,2.81 km/giờ,11.38,Tốt
Kon Tum,11/09/2022,11:15,30°,Mây rải rác,20°/30°,59%,10 km,1.28 km/giờ,11.62,Tốt
Gia Lai,11/09/2022,11:15,29°,Mây rải rác,20°/29°,64%,10 km,2.17 km/giờ,11.54,Tốt
Đắk Lắk,11/09/2022,11:15,30°,Nhiều mây,20°/30°,54%,10 km,1.35 km/giờ,9.79,Tốt
Đắk Nông,11/09/2022,11:15,30°,Nhiều mây,20°/30°,54%,10 km,1.35 km/giờ,9.79,Tốt
Lâm Đồng,11/09/2022,11:15,29°,Mây thưa,18°/29°,52%,10 km,2.23 km/giờ,11.38,Khá
Bình Phước,11/09/2022,11:15,31°,Mây rải rác,22°/31°,62%,10 km,1.44 km/giờ,10.96,Khá
