Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Tây Ninh,11/09/2022,11:15,31°,Mây cụm,23°/32°,62%,10 km,3.59 km/giờ,11.88,Kém
Bình Dương,11/09/2022,11:15,31°,Mây cụm,24°/32°,70%,10 km,2.57 km/giờ,12,Khá
Đồng Nai,11/09/2022,11:15,31°,Mây cụm,23°/32°,59%,10 km,2.29 km/giờ,12,Tốt
Bà Rịa - Vũng Tàu,11/09/2022,11:15,31°,Nhiều mây,23°/31°,60%,10 km,3.17 km/giờ,10.91,Tốt
Hồ Chí Minh,11/09/2022,11:15,31°,Mây cụm,24°/31°,70%,10 km,2.57 km/giờ,12,Kém
Long An,11/09/2022,11:15,31°,Mây cụm,23°/31°,66%,10 km,3.15 km/giờ,11.92,Kém
Tiền Giang,11/09/2022,11:15,30°,Mây cụm,23°/30°,72%,10 km,2.43 km/giờ,6.61,Kém
Bến Tre,11/09/2022,11:15,29°,Mây cụm,23°/30°,74%,8.4 km,2.14 km/giờ,6.61,Kém
Trà Vinh,11/09/2022,11:15,27°,Nhiều mây,24°/29°,84%,10 km,2.71 km/giờ,3.07,Trung bình
Vĩnh Long,11/09/2022,11:15,30°,Nhiều mây,23°/30°,67%,10 km,2.28 km/giờ,3.66,Trung bình
Đồng Tháp,11/09/2022,11:15,30°,Nhiều mây,23°/31°,66%,10 km,2.35 km/giờ,3.66,Kém
An Giang,11/09/2022,11:15,30°,Nhiều mây,24°/31°,67%,10 km,1.98 km/giờ,7.05,Rất kém
Kiên Giang,11/09/2022,11:15,28°,Nhiều mây,25°/28°,76%,10 km,4.68 km/giờ,4.46,Khá
Cần Thơ,11/09/2022,11:15,30°,Mây rải rác,23°/30°,74%,10 km,1.03 km/giờ,3.66,Rất kém
Hậu Giang,11/09/2022,11:15,30°,Nhiều mây,23°/31°,77%,7.85 km,3.6 km/giờ,4.46,Tốt
Sóc Trăng,11/09/2022,11:15,26°,Nhiều mây,23°/29°,89%,10 km,2.57 km/giờ,4.2,Kém
Bạc Liêu,11/09/2022,11:15,26°,Nhiều mây,25°/28°,89%,10 km,2.76 km/giờ,2.12,Tốt
Cà Mau,11/09/2022,11:15,26°,Nhiều mây,23°/26°,88%,4.93 km,2.48 km/giờ,2.25,Tốt
Hà Giang,11/09/2022,12:15,32°,Mây cụm,21°/32°,55%,10 km,1.06 km/giờ,11.73,Tốt
Cao Bằng,11/09/2022,12:15,28°,Nhiều mây,21°/29°,74%,10 km,1.46 km/giờ,7.83,Tốt
Bắc Kạn,11/09/2022,12:15,28°,Nhiều mây,22°/30°,88%,10 km,0.48 km/giờ,11.13,Tốt
Tuyên Quang,11/09/2022,12:15,28°,Mây cụm,22°/29°,86%,10 km,0.64 km/giờ,11.45,Tốt
Thái Nguyên,11/09/2022,12:15,30°,Mây cụm,23°/31°,61%,10 km,1.05 km/giờ,10.09,Kém
Lạng Sơn,11/09/2022,12:15,30°,Mây cụm,22°/30°,60%,10 km,1.42 km/giờ,11.03,Kém
Quảng Ninh,11/09/2022,12:15,33°,Nhiều mây,24°/33°,51%,10 km,0.88 km/giờ,11.24,Trung bình
Bắc Giang,11/09/2022,12:15,30°,Mây cụm,24°/32°,59%,10 km,1.5 km/giờ,11.18,Kém
Phú Thọ,11/09/2022,12:15,31°,Nhiều mây,23°/32°,64%,10 km,1.13 km/giờ,9.77,Khá
Lào Cai,11/09/2022,12:15,30°,Mây cụm,22°/31°,71%,10 km,0.93 km/giờ,9.35,Tốt
Điện Biên,11/09/2022,12:15,28°,Mưa nhẹ,20°/28°,70%,10 km,0.54 km/giờ,9.56,Tốt
Lai Châu,11/09/2022,12:15,29°,Nhiều mây,22°/29°,76%,6.51 km,0.56 km/giờ,6.21,Tốt
Sơn La,11/09/2022,12:15,28°,Nhiều mây,19°/28°,72%,10 km,1.09 km/giờ,11.25,Tốt
Yên Bái,11/09/2022,12:15,30°,Mây cụm,23°/30°,71%,10 km,0.89 km/giờ,11.03,Tốt
Hoà Bình,11/09/2022,12:15,32°,Mây rải rác,24°/32°,62%,10 km,1.49 km/giờ,11.5,Trung bình
Hà Nội,11/09/2022,12:15,30°,Mưa nhẹ,24°/32°,70%,10 km,1.54 km/giờ,11.11,Kém
Vĩnh Phúc,11/09/2022,12:15,30°,Mây rải rác,23°/31°,62%,10 km,1.08 km/giờ,11.11,Kém
Bắc Ninh,11/09/2022,12:15,30°,Mây cụm,24°/32°,59%,10 km,1.2 km/giờ,11.18,Rất kém
Hải Dương,11/09/2022,12:15,32°,Mây rải rác,24°/32°,59%,10 km,0.57 km/giờ,11.43,Rất kém
Hải Phòng,11/09/2022,12:15,32°,Mây thưa,24°/33°,62%,10 km,2.57 km/giờ,10.97,Rất kém
Hưng Yên,11/09/2022,12:15,33°,Mây rải rác,24°/33°,56%,10 km,0.75 km/giờ,11.43,Rất kém
Thái Bình,11/09/2022,12:15,31°,Mây cụm,24°/31°,61%,10 km,0.84 km/giờ,11.41,Rất kém
Hà Nam,11/09/2022,12:15,33°,Mây rải rác,24°/33°,57%,10 km,0.71 km/giờ,11.4,Kém
Nam Định,11/09/2022,12:15,32°,Mây cụm,24°/32°,60%,10 km,0.77 km/giờ,11.41,Rất kém
Ninh Bình,11/09/2022,12:15,32°,Mây rải rác,24°/32°,59%,10 km,0.87 km/giờ,11.62,Kém
Thanh Hóa,11/09/2022,12:15,31°,Nhiều mây,24°/31°,62%,10 km,1.39 km/giờ,11.54,Kém
Nghệ An,11/09/2022,12:15,29°,Nhiều mây,24°/30°,75%,10 km,1.21 km/giờ,10.84,Trung bình
Hà Tĩnh,11/09/2022,12:15,31°,Nhiều mây,24°/31°,67%,10 km,2.51 km/giờ,9.52,Khá
Quảng Bình,11/09/2022,12:15,32°,Mây rải rác,23°/32°,57%,10 km,2.59 km/giờ,11.24,Tốt
Quảng Trị,11/09/2022,12:15,31°,Nhiều mây,23°/32°,59%,10 km,2.91 km/giờ,11.57,Tốt
Thừa Thiên Huế,11/09/2022,12:15,31°,Mây cụm,23°/32°,66%,10 km,1.03 km/giờ,11.05,Tốt
Đà Nẵng,11/09/2022,12:15,32°,Mây thưa,25°/32°,62%,10 km,3.6 km/giờ,11.5,Tốt
Quảng Nam,11/09/2022,12:15,30°,Mây thưa,24°/31°,63%,10 km,3.23 km/giờ,12.28,Khá
Quảng Ngãi,11/09/2022,12:15,31°,Mây thưa,24°/31°,61%,10 km,3.11 km/giờ,12.19,Khá
Bình Định,11/09/2022,12:15,28°,Mây rải rác,25°/29°,80%,10 km,3.4 km/giờ,12.15,Tốt
Phú Yên,11/09/2022,12:15,30°,Mây cụm,21°/32°,65%,10 km,2.59 km/giờ,10.96,Tốt
Khánh Hòa,11/09/2022,12:15,30°,Mây cụm,23°/32°,54%,10 km,2.83 km/giờ,12.88,Tốt
Ninh Thuận,11/09/2022,12:15,31°,Mây rải rác,24°/31°,60%,10 km,3.98 km/giờ,11.81,Khá
Bình Thuận,11/09/2022,12:15,32°,Mây rải rác,22°/32°,50%,10 km,3.54 km/giờ,11.98,Tốt
Kon Tum,11/09/2022,12:15,30°,Mây rải rác,20°/30°,57%,10 km,1.62 km/giờ,12.24,Tốt
Gia Lai,11/09/2022,12:15,29°,Mây rải rác,20°/29°,61%,10 km,2.4 km/giờ,12.08,Tốt
Đắk Lắk,11/09/2022,12:15,30°,Mây cụm,20°/30°,54%,10 km,1.12 km/giờ,10.32,Tốt
Đắk Nông,11/09/2022,12:15,30°,Mây cụm,20°/30°,54%,10 km,1.12 km/giờ,10.32,Tốt
Lâm Đồng,11/09/2022,12:15,28°,Mây thưa,18°/28°,58%,10 km,2.45 km/giờ,11.98,Khá
Bình Phước,11/09/2022,12:15,30°,Mây cụm,22°/30°,71%,10 km,1.68 km/giờ,11.75,Tốt
Tây Ninh,11/09/2022,12:15,32°,Mây cụm,23°/32°,59%,10 km,3.28 km/giờ,12.8,Kém
Bình Dương,11/09/2022,12:15,32°,Mây cụm,24°/32°,62%,10 km,2.06 km/giờ,12.85,Khá
Đồng Nai,11/09/2022,12:15,32°,Mây cụm,23°/32°,55%,10 km,1.87 km/giờ,12.85,Tốt
Bà Rịa - Vũng Tàu,11/09/2022,12:15,31°,Nhiều mây,23°/31°,61%,9.22 km,3.66 km/giờ,11.61,Tốt
Hồ Chí Minh,11/09/2022,12:15,32°,Mây cụm,24°/32°,62%,10 km,2.06 km/giờ,12.85,Trung bình
Long An,11/09/2022,12:15,31°,Mây cụm,23°/31°,65%,10 km,3.45 km/giờ,12.84,Kém
Tiền Giang,11/09/2022,12:15,30°,Mây cụm,23°/31°,73%,10 km,2.69 km/giờ,7.12,Kém
Bến Tre,11/09/2022,12:15,29°,Mây cụm,23°/30°,76%,10 km,2.28 km/giờ,7.12,Kém
Trà Vinh,11/09/2022,12:15,26°,Nhiều mây,24°/29°,88%,10 km,2.63 km/giờ,3.31,Trung bình
Vĩnh Long,11/09/2022,12:15,31°,Nhiều mây,23°/31°,73%,10 km,2.89 km/giờ,3.97,Khá
Đồng Tháp,11/09/2022,12:15,31°,Nhiều mây,23°/31°,65%,10 km,2.36 km/giờ,3.97,Kém
An Giang,11/09/2022,12:15,31°,Nhiều mây,24°/31°,66%,10 km,2.19 km/giờ,7.69,Rất kém
Kiên Giang,11/09/2022,12:15,28°,Nhiều mây,25°/28°,74%,10 km,5.55 km/giờ,4.87,Khá
Cần Thơ,11/09/2022,12:15,31°,Mây rải rác,23°/31°,66%,10 km,1.03 km/giờ,3.97,Rất kém
Hậu Giang,11/09/2022,12:15,31°,Nhiều mây,23°/31°,83%,10 km,3.78 km/giờ,4.87,Tốt
Sóc Trăng,11/09/2022,12:15,26°,Nhiều mây,23°/29°,88%,10 km,2.46 km/giờ,4.55,Kém
Bạc Liêu,11/09/2022,12:15,26°,Nhiều mây,25°/28°,88%,10 km,3.73 km/giờ,2.3,Tốt
Cà Mau,11/09/2022,12:15,25°,Nhiều mây,23°/26°,95%,5.23 km,2.26 km/giờ,2.46,Tốt
Hà Giang,11/09/2022,13:15,32°,Mây cụm,21°/32°,56%,10 km,1.16 km/giờ,10.76,Tốt
Cao Bằng,11/09/2022,13:15,28°,Nhiều mây,21°/29°,77%,10 km,1.79 km/giờ,7.1,Tốt
Bắc Kạn,11/09/2022,13:15,29°,Nhiều mây,22°/30°,79%,10 km,0.52 km/giờ,10.15,Tốt
Tuyên Quang,11/09/2022,13:15,28°,Mây cụm,22°/29°,90%,10 km,0.79 km/giờ,10.5,Tốt
Thái Nguyên,11/09/2022,13:15,31°,Mây cụm,23°/31°,59%,10 km,1.2 km/giờ,9.2,Kém
Lạng Sơn,11/09/2022,13:15,30°,Mưa vừa,22°/30°,62%,10 km,1.32 km/giờ,9.94,Kém
Quảng Ninh,11/09/2022,13:15,33°,Mây cụm,24°/33°,51%,10 km,1.79 km/giờ,10.08,Trung bình
Bắc Giang,11/09/2022,13:15,31°,Mây cụm,24°/32°,57%,10 km,1.68 km/giờ,10.14,Kém
Phú Thọ,11/09/2022,13:15,32°,Mây cụm,23°/32°,61%,10 km,1.6 km/giờ,8.96,Khá
Lào Cai,11/09/2022,13:15,31°,Mây cụm,22°/31°,67%,10 km,0.89 km/giờ,8.72,Tốt
Điện Biên,11/09/2022,13:15,29°,Mưa vừa,20°/29°,71%,10 km,0.3 km/giờ,8.97,Tốt
Lai Châu,11/09/2022,13:15,29°,Nhiều mây,22°/29°,77%,7.37 km,0.62 km/giờ,5.82,Tốt
Sơn La,11/09/2022,13:15,28°,Mưa vừa,19°/28°,72%,10 km,1.15 km/giờ,10.5,Tốt
Yên Bái,11/09/2022,13:15,30°,Mây cụm,23°/30°,68%,10 km,0.8 km/giờ,10.17,Tốt
Hoà Bình,11/09/2022,13:15,32°,Mây cụm,24°/32°,65%,10 km,1.58 km/giờ,10.55,Khá
Hà Nội,11/09/2022,13:15,31°,Mây thưa,24°/32°,66%,10 km,1.54 km/giờ,10.14,Kém
Vĩnh Phúc,11/09/2022,13:15,31°,Mây rải rác,23°/31°,59%,10 km,1.37 km/giờ,10.14,Kém
Bắc Ninh,11/09/2022,13:15,31°,Mây rải rác,24°/32°,56%,10 km,1.28 km/giờ,10.14,Rất kém
Hải Dương,11/09/2022,13:15,33°,Mây rải rác,24°/33°,56%,10 km,0.73 km/giờ,10.36,Rất kém
Hải Phòng,11/09/2022,13:15,33°,Mây rải rác,24°/33°,52%,10 km,2.57 km/giờ,9.9,Rất kém
Hưng Yên,11/09/2022,13:15,33°,Mây rải rác,24°/33°,54%,10 km,1.24 km/giờ,10.36,Rất kém
Thái Bình,11/09/2022,13:15,31°,Mây cụm,24°/31°,60%,10 km,1.7 km/giờ,10.34,Rất kém
Hà Nam,11/09/2022,13:15,33°,Mây rải rác,24°/33°,54%,10 km,1.21 km/giờ,10.4,Kém
Nam Định,11/09/2022,13:15,32°,Mây cụm,24°/32°,58%,10 km,1.41 km/giờ,10.34,Rất kém
Ninh Bình,11/09/2022,13:15,32°,Mây rải rác,24°/32°,57%,10 km,1.55 km/giờ,10.59,Rất kém
Thanh Hóa,11/09/2022,13:15,32°,Nhiều mây,24°/32°,60%,10 km,1.99 km/giờ,10.52,Kém
Nghệ An,11/09/2022,13:15,29°,Nhiều mây,24°/30°,74%,10 km,1.73 km/giờ,9.88,Trung bình
Hà Tĩnh,11/09/2022,13:15,30°,Nhiều mây,24°/31°,69%,10 km,3.38 km/giờ,8.67,Khá
Quảng Bình,11/09/2022,13:15,32°,Mây rải rác,23°/33°,57%,10 km,2.86 km/giờ,10.18,Tốt
Quảng Trị,11/09/2022,13:15,31°,Nhiều mây,23°/32°,60%,10 km,3.39 km/giờ,10.37,Tốt
Thừa Thiên Huế,11/09/2022,13:15,31°,Mây cụm,23°/31°,66%,10 km,3.09 km/giờ,9.84,Khá
Đà Nẵng,11/09/2022,13:15,32°,Mây thưa,25°/32°,62%,10 km,4.12 km/giờ,10.18,Khá
Quảng Nam,11/09/2022,13:15,30°,Mây thưa,24°/31°,64%,10 km,3.18 km/giờ,10.86,Khá
Quảng Ngãi,11/09/2022,13:15,31°,Mây thưa,24°/31°,62%,10 km,3.54 km/giờ,10.72,Khá
Bình Định,11/09/2022,13:15,29°,Mây rải rác,25°/30°,78%,10 km,3.9 km/giờ,10.62,Tốt
Phú Yên,11/09/2022,13:15,29°,Mây cụm,21°/32°,72%,10 km,3.45 km/giờ,9.58,Tốt
Khánh Hòa,11/09/2022,13:15,31°,Mây cụm,23°/32°,55%,10 km,3.54 km/giờ,11.24,Khá
Ninh Thuận,11/09/2022,13:15,31°,Mây rải rác,24°/32°,64%,10 km,4.12 km/giờ,10.4,Khá
Bình Thuận,11/09/2022,13:15,30°,Mây rải rác,22°/32°,58%,10 km,4.17 km/giờ,10.61,Tốt
Kon Tum,11/09/2022,13:15,30°,Mây rải rác,20°/30°,59%,10 km,1.36 km/giờ,10.83,Tốt
Gia Lai,11/09/2022,13:15,29°,Mây rải rác,20°/29°,60%,10 km,3.08 km/giờ,10.63,Tốt
Đắk Lắk,11/09/2022,13:15,30°,Mây cụm,20°/30°,56%,10 km,0.93 km/giờ,9.12,Tốt
Đắk Nông,11/09/2022,13:15,30°,Mây cụm,20°/30°,56%,10 km,0.93 km/giờ,9.12,Tốt
Lâm Đồng,11/09/2022,13:15,27°,Mây rải rác,18°/29°,66%,10 km,2.42 km/giờ,10.61,Khá
Bình Phước,11/09/2022,13:15,29°,Mây cụm,22°/30°,81%,10 km,1.62 km/giờ,10.58,Tốt
Tây Ninh,11/09/2022,13:15,33°,Mây cụm,23°/33°,56%,10 km,2.78 km/giờ,11.59,Kém
Bình Dương,11/09/2022,13:15,33°,Mây rải rác,24°/33°,62%,10 km,0.51 km/giờ,11.57,Khá
Đồng Nai,11/09/2022,13:15,33°,Mây cụm,23°/33°,54%,10 km,2.29 km/giờ,11.57,Khá
Bà Rịa - Vũng Tàu,11/09/2022,13:15,30°,Nhiều mây,23°/30°,64%,10 km,3.82 km/giờ,10.4,Tốt
Hồ Chí Minh,11/09/2022,13:15,33°,Mây rải rác,24°/33°,62%,10 km,0.51 km/giờ,11.57,Trung bình
Long An,11/09/2022,13:15,31°,Mây cụm,23°/31°,68%,10 km,3.68 km/giờ,11.63,Kém
Tiền Giang,11/09/2022,13:15,28°,Mây cụm,23°/32°,79%,10 km,2.84 km/giờ,6.45,Kém
Bến Tre,11/09/2022,13:15,28°,Mây cụm,23°/31°,84%,10 km,2.53 km/giờ,6.45,Kém
Trà Vinh,11/09/2022,13:15,28°,Nhiều mây,24°/31°,81%,10 km,2.82 km/giờ,2.99,Trung bình
Vĩnh Long,11/09/2022,13:15,32°,Nhiều mây,23°/32°,85%,10 km,2.85 km/giờ,3.62,Khá
Đồng Tháp,11/09/2022,13:15,32°,Nhiều mây,23°/32°,71%,7.51 km,3.12 km/giờ,3.62,Kém
An Giang,11/09/2022,13:15,32°,Nhiều mây,24°/32°,69%,10 km,2.61 km/giờ,7.05,Rất kém
Kiên Giang,11/09/2022,13:15,28°,Nhiều mây,25°/28°,76%,10 km,4.98 km/giờ,4.46,Trung bình
Cần Thơ,11/09/2022,13:15,32°,Mây rải rác,23°/32°,66%,10 km,2.57 km/giờ,3.62,Rất kém
Hậu Giang,11/09/2022,13:15,32°,Nhiều mây,23°/32°,87%,10 km,3.75 km/giờ,4.46,Khá
Sóc Trăng,11/09/2022,13:15,26°,Nhiều mây,23°/30°,88%,10 km,2.77 km/giờ,4.15,Kém
Bạc Liêu,11/09/2022,13:15,26°,Nhiều mây,25°/29°,88%,10 km,3.48 km/giờ,2.1,Tốt
Cà Mau,11/09/2022,13:15,25°,Nhiều mây,23°/27°,95%,10 km,2.99 km/giờ,2.25,Tốt
Hà Giang,11/09/2022,14:22,28°,Mây thưa,21°/31°,86%,10 km,1.43 km/giờ,8.18,Tốt
Cao Bằng,11/09/2022,14:22,27°,Nhiều mây,22°/29°,84%,10 km,0.44 km/giờ,4.63,Tốt
Bắc Kạn,11/09/2022,14:22,30°,Nhiều mây,22°/30°,71%,10 km,0.49 km/giờ,7.96,Tốt
Tuyên Quang,11/09/2022,14:22,30°,Nhiều mây,22°/30°,75%,10 km,1.2 km/giờ,8,Tốt
Thái Nguyên,11/09/2022,14:22,32°,Mây cụm,24°/32°,58%,10 km,2.02 km/giờ,5.63,Kém
Lạng Sơn,11/09/2022,14:22,29°,Nhiều mây,22°/31°,70%,10 km,0.17 km/giờ,7.38,Kém
Quảng Ninh,11/09/2022,14:22,32°,Mây cụm,23°/33°,56%,10 km,2.3 km/giờ,7.19,Kém
Bắc Giang,11/09/2022,14:22,32°,Mây cụm,24°/32°,55%,10 km,2.16 km/giờ,7.22,Kém
Phú Thọ,11/09/2022,14:22,32°,Mây cụm,23°/32°,60%,10 km,2.4 km/giờ,6.32,Khá
Lào Cai,11/09/2022,14:22,29°,Nhiều mây,23°/30°,81%,10 km,0.87 km/giờ,7.54,Tốt
Điện Biên,11/09/2022,14:22,28°,Mây cụm,21°/28°,85%,10 km,0.74 km/giờ,8.57,Tốt
Lai Châu,11/09/2022,14:22,29°,Nhiều mây,22°/29°,82%,10 km,0.42 km/giờ,6.78,Tốt
Sơn La,11/09/2022,14:22,28°,Mây rải rác,20°/28°,71%,10 km,1.04 km/giờ,7.83,Tốt
Yên Bái,11/09/2022,14:22,30°,Mây cụm,23°/30°,73%,10 km,0.55 km/giờ,6.47,Tốt
Hoà Bình,11/09/2022,14:22,32°,Nhiều mây,23°/32°,64%,10 km,1.71 km/giờ,7.37,Khá
Hà Nội,11/09/2022,14:22,32°,Mây thưa,24°/32°,62%,10 km,2.06 km/giờ,6.27,Kém
Vĩnh Phúc,11/09/2022,14:22,32°,Mây cụm,23°/32°,58%,10 km,2.61 km/giờ,6.27,Kém
Bắc Ninh,11/09/2022,14:22,32°,Mây cụm,24°/32°,55%,10 km,2.17 km/giờ,7.22,Rất kém
Hải Dương,11/09/2022,14:22,33°,Mây rải rác,24°/33°,55%,10 km,2.02 km/giờ,5.28,Rất kém
Hải Phòng,11/09/2022,14:22,33°,Mây rải rác,24°/33°,55%,10 km,2.57 km/giờ,7.73,Rất kém
Hưng Yên,11/09/2022,14:22,33°,Mây cụm,23°/33°,56%,10 km,2.71 km/giờ,5.28,Rất kém
Thái Bình,11/09/2022,14:22,31°,Mây cụm,24°/31°,66%,10 km,3.05 km/giờ,4.64,Rất kém
Hà Nam,11/09/2022,14:22,33°,Mây cụm,23°/33°,56%,10 km,2.72 km/giờ,7.89,Kém
Nam Định,11/09/2022,14:22,31°,Mây rải rác,24°/31°,62%,10 km,2.84 km/giờ,4.64,Rất kém
Ninh Bình,11/09/2022,14:22,32°,Mây rải rác,24°/32°,57%,10 km,2.88 km/giờ,7.78,Rất kém
Thanh Hóa,11/09/2022,14:22,32°,Mây thưa,24°/32°,57%,10 km,3.06 km/giờ,8.05,Kém
Nghệ An,11/09/2022,14:22,30°,Mây cụm,24°/30°,71%,10 km,2.77 km/giờ,7.85,Trung bình
Hà Tĩnh,11/09/2022,14:22,30°,Mây cụm,24°/31°,70%,10 km,3.98 km/giờ,7.89,Khá
