Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Quảng Bình,11/09/2022,14:22,32°,Nhiều mây,23°/33°,59%,10 km,3.18 km/giờ,5.88,Tốt
Quảng Trị,11/09/2022,14:22,31°,Nhiều mây,23°/32°,62%,10 km,3.88 km/giờ,7.21,Tốt
Thừa Thiên Huế,11/09/2022,14:22,32°,Mây rải rác,23°/32°,62%,10 km,3.09 km/giờ,7.29,Khá
Đà Nẵng,11/09/2022,14:22,32°,Mây thưa,25°/32°,66%,10 km,4.63 km/giờ,7.39,Khá
Quảng Nam,11/09/2022,14:22,30°,Bầu trời quang đãng,24°/31°,64%,10 km,3.25 km/giờ,7.86,Khá
Quảng Ngãi,11/09/2022,14:22,31°,Mây cụm,23°/31°,61%,10 km,3.81 km/giờ,7.86,Khá
Bình Định,11/09/2022,14:22,29°,Mây thưa,24°/30°,72%,10 km,4.58 km/giờ,7.64,Tốt
Phú Yên,11/09/2022,14:22,28°,Mây cụm,21°/32°,76%,10 km,3.3 km/giờ,2.78,Tốt
Khánh Hòa,11/09/2022,14:22,32°,Mây rải rác,23°/32°,62%,10 km,3.78 km/giờ,6.44,Khá
Ninh Thuận,11/09/2022,14:22,30°,Nhiều mây,24°/32°,67%,10 km,4.64 km/giờ,3.35,Khá
Bình Thuận,11/09/2022,14:22,28°,Nhiều mây,22°/33°,73%,10 km,3.71 km/giờ,7.33,Tốt
Kon Tum,11/09/2022,14:22,30°,Mây rải rác,20°/30°,62%,10 km,0.81 km/giờ,3.5,Tốt
Gia Lai,11/09/2022,14:22,29°,Mây rải rác,20°/29°,64%,10 km,4.3 km/giờ,6.24,Tốt
Đắk Lắk,11/09/2022,14:22,29°,Mây cụm,20°/30°,61%,10 km,1.49 km/giờ,6.86,Tốt
Đắk Nông,11/09/2022,14:22,29°,Mây cụm,20°/30°,61%,10 km,1.49 km/giờ,6.86,Tốt
Lâm Đồng,11/09/2022,14:22,24°,Mưa nhẹ,19°/30°,89%,5.68 km,1.82 km/giờ,7.33,Khá
Bình Phước,11/09/2022,14:22,31°,Mây cụm,21°/31°,67%,10 km,2.06 km/giờ,8.63,Tốt
Tây Ninh,11/09/2022,14:22,33°,Mây rải rác,24°/33°,54%,10 km,2.83 km/giờ,8.65,Kém
Bình Dương,11/09/2022,14:22,34°,Mây rải rác,24°/34°,55%,10 km,3.09 km/giờ,4.04,Khá
Đồng Nai,11/09/2022,14:22,34°,Mây cụm,24°/33°,61%,10 km,2.55 km/giờ,4.04,Khá
Bà Rịa - Vũng Tàu,11/09/2022,14:22,30°,Nhiều mây,22°/32°,69%,10 km,3.87 km/giờ,3.75,Tốt
Hồ Chí Minh,11/09/2022,14:22,34°,Mây rải rác,24°/34°,55%,10 km,3.09 km/giờ,4.04,Kém
Long An,11/09/2022,14:22,29°,Mây cụm,24°/31°,77%,10 km,4.03 km/giờ,6.58,Kém
Tiền Giang,11/09/2022,14:22,27°,Nhiều mây,23°/31°,85%,10 km,2.73 km/giờ,2.31,Kém
Bến Tre,11/09/2022,14:22,27°,Nhiều mây,23°/32°,85%,10 km,2.1 km/giờ,2.31,Kém
Trà Vinh,11/09/2022,14:22,29°,Nhiều mây,23°/31°,75%,10 km,2.22 km/giờ,2.6,Kém
Vĩnh Long,11/09/2022,14:22,31°,Nhiều mây,23°/32°,88%,10 km,2.83 km/giờ,1.59,Khá
Đồng Tháp,11/09/2022,14:22,31°,Nhiều mây,24°/31°,84%,10 km,3.62 km/giờ,1.59,Kém
An Giang,11/09/2022,14:22,31°,Nhiều mây,24°/31°,82%,10 km,2.89 km/giờ,1.1,Rất kém
Kiên Giang,11/09/2022,14:22,26°,Nhiều mây,25°/29°,85%,10 km,4.3 km/giờ,2.5,Khá
Cần Thơ,11/09/2022,14:22,31°,Mây rải rác,23°/32°,66%,10 km,1.54 km/giờ,1.59,Rất kém
Hậu Giang,11/09/2022,14:22,31°,Nhiều mây,24°/32°,88%,10 km,3.75 km/giờ,2.5,Khá
Sóc Trăng,11/09/2022,14:22,27°,Nhiều mây,24°/30°,84%,10 km,2.67 km/giờ,1.87,Kém
Bạc Liêu,11/09/2022,14:22,26°,Nhiều mây,24°/31°,88%,10 km,3.53 km/giờ,3.17,Tốt
Cà Mau,11/09/2022,14:23,24°,Nhiều mây,24°/31°,95%,7.46 km,3 km/giờ,4.58,Tốt
Hà Giang,11/09/2022,15:15,28°,Mây cụm,21°/31°,89%,10 km,1.32 km/giờ,4.99,Tốt
Cao Bằng,11/09/2022,15:15,26°,Nhiều mây,22°/29°,92%,10 km,0.56 km/giờ,2.77,Tốt
Bắc Kạn,11/09/2022,15:15,29°,Nhiều mây,22°/30°,82%,10 km,0.63 km/giờ,4.8,Tốt
Tuyên Quang,11/09/2022,15:15,30°,Nhiều mây,22°/30°,75%,10 km,0.98 km/giờ,4.87,Tốt
Thái Nguyên,11/09/2022,15:15,33°,Mây cụm,24°/33°,62%,10 km,1.81 km/giờ,3.4,Kém
Lạng Sơn,11/09/2022,15:15,29°,Nhiều mây,22°/31°,74%,10 km,1.12 km/giờ,4.37,Kém
Quảng Ninh,11/09/2022,15:15,31°,Nhiều mây,23°/33°,61%,10 km,2.86 km/giờ,4.21,Kém
Bắc Giang,11/09/2022,15:15,33°,Mây cụm,24°/33°,55%,10 km,2.29 km/giờ,4.32,Kém
Phú Thọ,11/09/2022,15:15,31°,Mây cụm,23°/31°,66%,10 km,2.36 km/giờ,3.84,Tốt
Lào Cai,11/09/2022,15:15,29°,Nhiều mây,23°/30°,83%,9.56 km,0.99 km/giờ,4.71,Tốt
Điện Biên,11/09/2022,15:15,28°,Mưa nhẹ,21°/28°,82%,10 km,0.38 km/giờ,5.39,Tốt
Lai Châu,11/09/2022,15:15,29°,Nhiều mây,22°/29°,82%,10 km,0.29 km/giờ,4.27,Tốt
Sơn La,11/09/2022,15:15,28°,Mưa nhẹ,20°/28°,73%,10 km,1 km/giờ,4.89,Tốt
Yên Bái,11/09/2022,15:15,29°,Mây cụm,23°/29°,79%,7.38 km,0.72 km/giờ,3.97,Tốt
Hoà Bình,11/09/2022,15:15,31°,Nhiều mây,23°/31°,71%,10 km,1.69 km/giờ,4.48,Khá
Hà Nội,11/09/2022,15:15,33°,Mây rải rác,24°/33°,58%,10 km,2.06 km/giờ,3.78,Rất kém
Vĩnh Phúc,11/09/2022,15:15,33°,Mây cụm,23°/33°,62%,10 km,2.43 km/giờ,3.78,Trung bình
Bắc Ninh,11/09/2022,15:15,33°,Mây cụm,24°/33°,58%,10 km,2.55 km/giờ,4.32,Rất kém
Hải Dương,11/09/2022,15:15,33°,Mây cụm,24°/33°,61%,10 km,2.3 km/giờ,3.15,Rất kém
Hải Phòng,11/09/2022,15:15,33°,Mây rải rác,24°/33°,62%,10 km,3.6 km/giờ,4.58,Rất kém
Hưng Yên,11/09/2022,15:15,31°,Mây cụm,23°/31°,66%,10 km,3.29 km/giờ,3.15,Rất kém
Thái Bình,11/09/2022,15:15,30°,Mây rải rác,24°/31°,68%,10 km,3.28 km/giờ,2.77,Rất kém
Hà Nam,11/09/2022,15:15,31°,Mây cụm,23°/31°,63%,10 km,3.3 km/giờ,4.75,Rất kém
Nam Định,11/09/2022,15:15,31°,Mây rải rác,24°/31°,65%,10 km,3.27 km/giờ,2.77,Rất kém
Ninh Bình,11/09/2022,15:15,32°,Mây thưa,24°/32°,59%,10 km,3.58 km/giờ,4.69,Rất kém
Thanh Hóa,11/09/2022,15:15,31°,Mây thưa,24°/31°,61%,10 km,3.75 km/giờ,4.85,Kém
Nghệ An,11/09/2022,15:15,30°,Mây cụm,24°/30°,73%,10 km,3.87 km/giờ,4.73,Trung bình
Hà Tĩnh,11/09/2022,15:15,30°,Mây cụm,24°/31°,74%,10 km,4.37 km/giờ,4.75,Khá
Quảng Bình,11/09/2022,15:15,31°,Mây cụm,23°/33°,63%,10 km,3.26 km/giờ,3.51,Tốt
Quảng Trị,11/09/2022,15:15,30°,Nhiều mây,23°/32°,64%,10 km,3.58 km/giờ,4.22,Tốt
Thừa Thiên Huế,11/09/2022,15:15,32°,Mây rải rác,23°/32°,66%,10 km,3.6 km/giờ,4.22,Khá
Đà Nẵng,11/09/2022,15:15,32°,Mây thưa,25°/32°,62%,10 km,5.14 km/giờ,4.24,Khá
Quảng Nam,11/09/2022,15:15,30°,Bầu trời quang đãng,24°/31°,67%,10 km,3.57 km/giờ,4.51,Khá
Quảng Ngãi,11/09/2022,15:15,30°,Mây cụm,23°/31°,64%,10 km,3.53 km/giờ,4.46,Khá
Bình Định,11/09/2022,15:15,29°,Mây thưa,24°/30°,71%,10 km,4.38 km/giờ,4.29,Tốt
Phú Yên,11/09/2022,15:15,28°,Mưa nhẹ,21°/32°,73%,10 km,3.3 km/giờ,1.56,Tốt
Khánh Hòa,11/09/2022,15:15,30°,Mây rải rác,23°/32°,74%,10 km,3.35 km/giờ,3.6,Khá
Ninh Thuận,11/09/2022,15:15,30°,Nhiều mây,24°/32°,68%,10 km,4.21 km/giờ,1.9,Khá
Bình Thuận,11/09/2022,15:15,28°,Nhiều mây,22°/33°,75%,10 km,3.3 km/giờ,4.19,Tốt
Kon Tum,11/09/2022,15:15,28°,Mây cụm,20°/29°,71%,10 km,1.51 km/giờ,2.01,Tốt
Gia Lai,11/09/2022,15:15,28°,Mây rải rác,20°/29°,70%,10 km,4.17 km/giờ,3.54,Tốt
Đắk Lắk,11/09/2022,15:15,28°,Mây cụm,20°/30°,67%,10 km,1.84 km/giờ,3.93,Tốt
Đắk Nông,11/09/2022,15:15,28°,Mây cụm,20°/30°,67%,10 km,1.84 km/giờ,3.93,Tốt
Lâm Đồng,11/09/2022,15:15,24°,Nhiều mây,19°/30°,91%,5.01 km,1.54 km/giờ,4.19,Khá
Bình Phước,11/09/2022,15:15,30°,Nhiều mây,21°/31°,72%,10 km,2.17 km/giờ,5.08,Tốt
Tây Ninh,11/09/2022,15:15,32°,Mây cụm,24°/32°,56%,10 km,3.26 km/giờ,5.13,Kém
Bình Dương,11/09/2022,15:15,31°,Mây rải rác,24°/31°,70%,10 km,3.09 km/giờ,2.37,Khá
Đồng Nai,11/09/2022,15:15,31°,Mây cụm,24°/31°,74%,10 km,4.38 km/giờ,2.37,Trung bình
Bà Rịa - Vũng Tàu,11/09/2022,15:15,29°,Mây cụm,22°/32°,71%,10 km,3.51 km/giờ,2.18,Tốt
Hồ Chí Minh,11/09/2022,15:15,31°,Mây rải rác,24°/32°,70%,10 km,3.09 km/giờ,2.37,Kém
Long An,11/09/2022,15:15,28°,Mây cụm,24°/31°,81%,10 km,4.33 km/giờ,3.9,Kém
Tiền Giang,11/09/2022,15:15,28°,Mưa nhẹ,23°/31°,78%,10 km,2.47 km/giờ,1.37,Kém
Bến Tre,11/09/2022,15:15,29°,Mưa nhẹ,23°/32°,75%,10 km,1.97 km/giờ,1.37,Kém
Trà Vinh,11/09/2022,15:15,29°,Nhiều mây,23°/32°,72%,10 km,2.7 km/giờ,1.54,Kém
Vĩnh Long,11/09/2022,15:15,29°,Nhiều mây,23°/31°,84%,10 km,3.18 km/giờ,0.95,Khá
Đồng Tháp,11/09/2022,15:15,29°,Nhiều mây,24°/31°,87%,10 km,2.96 km/giờ,0.95,Kém
An Giang,11/09/2022,15:15,29°,Nhiều mây,24°/30°,88%,10 km,2.79 km/giờ,0.66,Rất kém
Kiên Giang,11/09/2022,15:15,27°,Nhiều mây,25°/29°,85%,10 km,4.31 km/giờ,1.5,Tốt
Cần Thơ,11/09/2022,15:15,29°,Mây rải rác,23°/30°,79%,6 km,4.12 km/giờ,0.95,Rất kém
Hậu Giang,11/09/2022,15:15,29°,Nhiều mây,24°/30°,89%,10 km,3.8 km/giờ,1.5,Khá
Sóc Trăng,11/09/2022,15:15,27°,Nhiều mây,24°/31°,84%,10 km,3.02 km/giờ,1.11,Kém
Bạc Liêu,11/09/2022,15:15,26°,Nhiều mây,24°/31°,88%,10 km,4.27 km/giờ,1.89,Tốt
Cà Mau,11/09/2022,15:15,24°,Nhiều mây,24°/31°,95%,10 km,3.06 km/giờ,2.75,Tốt
Hà Giang,11/09/2022,16:15,27°,Mây cụm,21°/31°,92%,10 km,1.18 km/giờ,2.21,Tốt
Cao Bằng,11/09/2022,16:15,25°,Nhiều mây,22°/29°,94%,10 km,0.38 km/giờ,1.2,Tốt
Bắc Kạn,11/09/2022,16:15,27°,Nhiều mây,22°/30°,92%,10 km,0.93 km/giờ,2.1,Tốt
Tuyên Quang,11/09/2022,16:15,28°,Nhiều mây,22°/28°,85%,8.93 km,0.61 km/giờ,2.16,Tốt
Thái Nguyên,11/09/2022,16:15,32°,Nhiều mây,24°/32°,67%,10 km,1.6 km/giờ,1.49,Kém
Lạng Sơn,11/09/2022,16:15,28°,Nhiều mây,22°/31°,79%,10 km,1.63 km/giờ,1.87,Kém
Quảng Ninh,11/09/2022,16:15,29°,Nhiều mây,23°/33°,69%,10 km,2.44 km/giờ,1.78,Kém
Bắc Giang,11/09/2022,16:15,32°,Mây cụm,24°/32°,57%,10 km,2.32 km/giờ,1.87,Kém
Phú Thọ,11/09/2022,16:15,30°,Mây cụm,23°/30°,75%,6.62 km,2.01 km/giờ,1.7,Tốt
Lào Cai,11/09/2022,16:15,29°,Nhiều mây,23°/31°,85%,10 km,1.2 km/giờ,2.16,Tốt
Điện Biên,11/09/2022,16:15,27°,Mưa vừa,21°/28°,93%,7.82 km,0.44 km/giờ,2.51,Tốt
Lai Châu,11/09/2022,16:15,28°,Nhiều mây,22°/29°,82%,10 km,0.28 km/giờ,1.99,Tốt
Sơn La,11/09/2022,16:15,27°,Mưa nhẹ,20°/27°,83%,10 km,1.06 km/giờ,2.24,Tốt
Yên Bái,11/09/2022,16:15,28°,Nhiều mây,23°/29°,83%,7.2 km,1.1 km/giờ,1.78,Tốt
Hoà Bình,11/09/2022,16:15,30°,Nhiều mây,23°/30°,79%,10 km,1.1 km/giờ,1.98,Tốt
Hà Nội,11/09/2022,16:15,32°,Mây rải rác,24°/32°,62%,10 km,2.57 km/giờ,1.65,Rất kém
Vĩnh Phúc,11/09/2022,16:15,32°,Mây cụm,23°/32°,69%,10 km,2.33 km/giờ,1.65,Trung bình
Bắc Ninh,11/09/2022,16:15,32°,Mây cụm,24°/32°,64%,10 km,2.58 km/giờ,1.87,Rất kém
Hải Dương,11/09/2022,16:15,31°,Mây cụm,24°/31°,67%,10 km,2.53 km/giờ,1.36,Rất kém
Hải Phòng,11/09/2022,16:15,31°,Mây rải rác,24°/32°,66%,10 km,4.12 km/giờ,1.95,Rất kém
Hưng Yên,11/09/2022,16:15,30°,Mây cụm,23°/30°,73%,10 km,3.17 km/giờ,1.36,Rất kém
Thái Bình,11/09/2022,16:15,30°,Mây rải rác,24°/30°,70%,10 km,3.39 km/giờ,1.2,Rất kém
Hà Nam,11/09/2022,16:15,30°,Mây cụm,23°/30°,70%,10 km,3.25 km/giờ,2.08,Rất kém
Nam Định,11/09/2022,16:15,30°,Mây rải rác,24°/31°,68%,10 km,3.44 km/giờ,1.2,Rất kém
Ninh Bình,11/09/2022,16:15,31°,Mây thưa,24°/31°,63%,10 km,3.84 km/giờ,2.04,Rất kém
Thanh Hóa,11/09/2022,16:15,30°,Mây thưa,24°/30°,67%,10 km,3.88 km/giờ,2.11,Kém
Nghệ An,11/09/2022,16:15,29°,Mây rải rác,24°/30°,77%,10 km,4.51 km/giờ,2.06,Trung bình
Hà Tĩnh,11/09/2022,16:15,29°,Mây cụm,24°/31°,75%,10 km,4.03 km/giờ,2.07,Tốt
Quảng Bình,11/09/2022,16:15,30°,Mây cụm,23°/33°,68%,10 km,3.12 km/giờ,1.51,Tốt
Quảng Trị,11/09/2022,16:15,30°,Nhiều mây,23°/32°,67%,10 km,3.41 km/giờ,1.76,Khá
Thừa Thiên Huế,11/09/2022,16:15,31°,Mây thưa,23°/31°,66%,10 km,4.63 km/giờ,1.74,Khá
Đà Nẵng,11/09/2022,16:15,31°,Mây thưa,25°/31°,66%,10 km,5.66 km/giờ,1.72,Trung bình
Quảng Nam,11/09/2022,16:15,29°,Mây rải rác,24°/31°,71%,10 km,3.31 km/giờ,1.83,Kém
Quảng Ngãi,11/09/2022,16:15,30°,Mây cụm,23°/31°,69%,10 km,3.35 km/giờ,1.78,Trung bình
Bình Định,11/09/2022,16:15,29°,Mây thưa,24°/30°,72%,10 km,3.94 km/giờ,1.67,Tốt
Phú Yên,11/09/2022,16:15,28°,Mưa nhẹ,21°/32°,72%,10 km,3.16 km/giờ,0.61,Tốt
Khánh Hòa,11/09/2022,16:15,30°,Mây rải rác,23°/32°,78%,10 km,2.52 km/giờ,1.4,Khá
Ninh Thuận,11/09/2022,16:15,29°,Mây cụm,24°/32°,70%,10 km,3.77 km/giờ,0.75,Khá
Bình Thuận,11/09/2022,16:15,27°,Nhiều mây,22°/33°,79%,10 km,2.95 km/giờ,1.68,Tốt
Kon Tum,11/09/2022,16:15,26°,Mây cụm,20°/29°,83%,7.97 km,1.3 km/giờ,0.81,Tốt
Gia Lai,11/09/2022,16:15,27°,Mây rải rác,20°/29°,78%,10 km,3.36 km/giờ,1.41,Tốt
Đắk Lắk,11/09/2022,16:15,26°,Mây cụm,20°/30°,84%,10 km,2.17 km/giờ,1.58,Tốt
Đắk Nông,11/09/2022,16:15,26°,Mây cụm,20°/30°,84%,10 km,2.17 km/giờ,1.58,Tốt
Lâm Đồng,11/09/2022,16:15,23°,Nhiều mây,19°/30°,95%,5.03 km,1.3 km/giờ,1.68,Khá
Bình Phước,11/09/2022,16:15,28°,Nhiều mây,21°/31°,91%,5.39 km,0.91 km/giờ,2.12,Khá
Tây Ninh,11/09/2022,16:15,30°,Mây cụm,24°/32°,69%,10 km,4.52 km/giờ,2.17,Rất kém
Bình Dương,11/09/2022,16:15,29°,Mây rải rác,24°/31°,79%,7 km,1.54 km/giờ,0.99,Kém
Đồng Nai,11/09/2022,16:15,29°,Mây cụm,24°/31°,78%,10 km,3.71 km/giờ,0.99,Trung bình
Bà Rịa - Vũng Tàu,11/09/2022,16:15,29°,Mây cụm,22°/32°,74%,10 km,3.45 km/giờ,0.9,Tốt
Hồ Chí Minh,11/09/2022,16:15,29°,Mây rải rác,24°/32°,79%,7 km,1.54 km/giờ,0.99,Kém
Long An,11/09/2022,16:15,28°,Mây cụm,24°/31°,82%,10 km,3.96 km/giờ,1.65,Kém
Tiền Giang,11/09/2022,16:15,29°,Mưa vừa,23°/32°,76%,10 km,2.6 km/giờ,0.58,Kém
Bến Tre,11/09/2022,16:15,29°,Mưa nhẹ,23°/32°,76%,10 km,2.16 km/giờ,0.58,Kém
Trà Vinh,11/09/2022,16:15,28°,Nhiều mây,23°/32°,77%,10 km,2.84 km/giờ,0.65,Kém
Vĩnh Long,11/09/2022,16:15,28°,Nhiều mây,23°/31°,81%,10 km,3.87 km/giờ,0.41,Khá
Đồng Tháp,11/09/2022,16:15,28°,Nhiều mây,24°/31°,87%,10 km,2.85 km/giờ,0.41,Kém
An Giang,11/09/2022,16:15,28°,Nhiều mây,24°/30°,87%,10 km,3.12 km/giờ,0.29,Rất kém
Kiên Giang,11/09/2022,16:15,26°,Nhiều mây,25°/29°,87%,10 km,4.67 km/giờ,0.65,Tốt
Cần Thơ,11/09/2022,16:15,28°,Mây rải rác,23°/30°,83%,10 km,1.54 km/giờ,0.41,Rất kém
Hậu Giang,11/09/2022,16:15,28°,Nhiều mây,24°/30°,91%,10 km,3.38 km/giờ,0.65,Khá
Sóc Trăng,11/09/2022,16:15,26°,Nhiều mây,24°/31°,87%,10 km,2.93 km/giờ,0.47,Kém
Bạc Liêu,11/09/2022,16:15,26°,Nhiều mây,24°/31°,90%,10 km,4 km/giờ,0.81,Tốt
Cà Mau,11/09/2022,16:15,24°,Nhiều mây,24°/31°,95%,10 km,2.79 km/giờ,1.19,Tốt
Hà Giang,11/09/2022,17:15,26°,Mây cụm,21°/31°,94%,10 km,0.95 km/giờ,0.57,Tốt
Cao Bằng,11/09/2022,17:15,25°,Nhiều mây,22°/29°,95%,10 km,0.46 km/giờ,0.38,Tốt
Bắc Kạn,11/09/2022,17:15,25°,Nhiều mây,22°/30°,94%,10 km,1.15 km/giờ,0.5,Khá
Tuyên Quang,11/09/2022,17:15,26°,Nhiều mây,22°/28°,93%,10 km,0.76 km/giờ,0.5,Tốt
Thái Nguyên,11/09/2022,17:15,32°,Nhiều mây,24°/32°,78%,10 km,1.25 km/giờ,0.41,Kém
Lạng Sơn,11/09/2022,17:15,27°,Nhiều mây,22°/31°,87%,10 km,1.56 km/giờ,0.25,Kém
Quảng Ninh,11/09/2022,17:15,28°,Nhiều mây,23°/33°,77%,10 km,1.57 km/giờ,0.27,Kém
Bắc Giang,11/09/2022,17:15,32°,Mây cụm,24°/32°,65%,10 km,2.15 km/giờ,0.42,Rất kém
Phú Thọ,11/09/2022,17:15,28°,Mây cụm,23°/30°,82%,8.62 km,1.26 km/giờ,0.51,Khá
Lào Cai,11/09/2022,17:15,27°,Nhiều mây,23°/31°,90%,10 km,1.03 km/giờ,0.51,Tốt
Điện Biên,11/09/2022,17:15,25°,Nhiều mây,21°/28°,96%,7.13 km,0.3 km/giờ,0.69,Tốt
Lai Châu,11/09/2022,17:15,27°,Nhiều mây,22°/27°,89%,10 km,0.27 km/giờ,0.7,Tốt
