Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Sơn La,11/09/2022,17:15,24°,Mây cụm,20°/26°,91%,10 km,1.07 km/giờ,0.64,Tốt
Yên Bái,11/09/2022,17:15,27°,Nhiều mây,23°/29°,85%,6.62 km,0.84 km/giờ,0.38,Tốt
Hoà Bình,11/09/2022,17:15,29°,Nhiều mây,23°/29°,84%,10 km,0.91 km/giờ,0.43,Khá
Hà Nội,11/09/2022,17:15,32°,Mây thưa,24°/32°,62%,10 km,3.6 km/giờ,0.42,Rất kém
Vĩnh Phúc,11/09/2022,17:15,31°,Mây cụm,23°/32°,78%,10 km,2.3 km/giờ,0.42,Kém
Bắc Ninh,11/09/2022,17:15,31°,Mây cụm,24°/32°,70%,10 km,2.51 km/giờ,0.42,Rất kém
Hải Dương,11/09/2022,17:15,31°,Mây cụm,24°/31°,75%,10 km,3.25 km/giờ,0.31,Rất kém
Hải Phòng,11/09/2022,17:15,31°,Mây thưa,24°/32°,70%,10 km,3.09 km/giờ,0.46,Rất kém
Hưng Yên,11/09/2022,17:15,29°,Mây cụm,23°/30°,77%,10 km,3.23 km/giờ,0.31,Rất kém
Thái Bình,11/09/2022,17:15,29°,Mây rải rác,24°/30°,76%,10 km,3.6 km/giờ,0.52,Rất kém
Hà Nam,11/09/2022,17:15,29°,Mây cụm,23°/30°,75%,10 km,3.33 km/giờ,0.52,Rất kém
Nam Định,11/09/2022,17:15,29°,Mây rải rác,24°/30°,75%,10 km,3.67 km/giờ,0.52,Rất kém
Ninh Bình,11/09/2022,17:15,29°,Mây thưa,24°/31°,72%,10 km,3.74 km/giờ,0.54,Rất kém
Thanh Hóa,11/09/2022,17:15,28°,Mây thưa,24°/29°,75%,10 km,3.4 km/giờ,0.53,Rất kém
Nghệ An,11/09/2022,17:15,28°,Mây rải rác,24°/30°,81%,10 km,3.97 km/giờ,0.5,Trung bình
Hà Tĩnh,11/09/2022,17:15,29°,Mây rải rác,24°/31°,78%,10 km,3.65 km/giờ,0.52,Tốt
Quảng Bình,11/09/2022,17:15,28°,Mây cụm,23°/33°,76%,10 km,2.37 km/giờ,0.49,Tốt
Quảng Trị,11/09/2022,17:15,29°,Nhiều mây,23°/32°,73%,10 km,2.79 km/giờ,0.46,Khá
Thừa Thiên Huế,11/09/2022,17:15,30°,Mây thưa,23°/31°,74%,10 km,3.6 km/giờ,0.41,Trung bình
Đà Nẵng,11/09/2022,17:15,30°,Mây thưa,25°/30°,74%,10 km,5.14 km/giờ,0.38,Kém
Quảng Nam,11/09/2022,17:15,28°,Mây rải rác,24°/31°,78%,10 km,2.61 km/giờ,0.4,Kém
Quảng Ngãi,11/09/2022,17:15,28°,Mây cụm,23°/31°,78%,10 km,2.65 km/giờ,0.38,Kém
Bình Định,11/09/2022,17:15,29°,Mây thưa,24°/30°,75%,10 km,3.31 km/giờ,0.35,Khá
Phú Yên,11/09/2022,17:15,26°,Mây cụm,21°/32°,77%,10 km,2.46 km/giờ,0.12,Tốt
Khánh Hòa,11/09/2022,17:15,29°,Mây cụm,23°/32°,87%,10 km,1.94 km/giờ,0.31,Khá
Ninh Thuận,11/09/2022,17:15,28°,Mây cụm,24°/32°,78%,10 km,2.99 km/giờ,0.31,Khá
Bình Thuận,11/09/2022,17:15,26°,Nhiều mây,22°/33°,84%,10 km,2.64 km/giờ,0.4,Tốt
Kon Tum,11/09/2022,17:15,24°,Mây cụm,20°/29°,90%,10 km,0.74 km/giờ,0.32,Tốt
Gia Lai,11/09/2022,17:15,25°,Mây cụm,20°/29°,85%,10 km,2.33 km/giờ,0.39,Tốt
Đắk Lắk,11/09/2022,17:15,24°,Mây cụm,20°/30°,92%,10 km,2.39 km/giờ,0.25,Tốt
Đắk Nông,11/09/2022,17:15,24°,Mây cụm,20°/30°,92%,10 km,2.39 km/giờ,0.25,Tốt
Lâm Đồng,11/09/2022,17:15,22°,Nhiều mây,19°/30°,97%,6.45 km,1.05 km/giờ,0.4,Khá
Bình Phước,11/09/2022,17:15,26°,Nhiều mây,21°/31°,93%,4.85 km,1.17 km/giờ,0.46,Khá
Tây Ninh,11/09/2022,17:15,29°,Mây cụm,24°/32°,77%,10 km,4.77 km/giờ,0.49,Rất kém
Bình Dương,11/09/2022,17:15,29°,Mây rải rác,24°/31°,79%,10 km,2.06 km/giờ,0.14,Kém
Đồng Nai,11/09/2022,17:15,29°,Mây cụm,24°/31°,81%,7.28 km,3.53 km/giờ,0.14,Khá
Bà Rịa - Vũng Tàu,11/09/2022,17:15,27°,Mây cụm,22°/32°,79%,10 km,2.95 km/giờ,0.11,Tốt
Hồ Chí Minh,11/09/2022,17:15,29°,Mây rải rác,24°/32°,79%,10 km,2.06 km/giờ,0.14,Trung bình
Long An,11/09/2022,17:15,27°,Mây cụm,24°/31°,85%,10 km,3.42 km/giờ,0.08,Kém
Tiền Giang,11/09/2022,17:15,27°,Mây cụm,23°/32°,83%,10 km,2.46 km/giờ,0.07,Trung bình
Bến Tre,11/09/2022,17:15,27°,Mây cụm,23°/32°,83%,10 km,2.1 km/giờ,0.07,Trung bình
Trà Vinh,11/09/2022,17:15,27°,Nhiều mây,23°/32°,84%,10 km,2.44 km/giờ,0.42,Kém
Vĩnh Long,11/09/2022,17:15,28°,Nhiều mây,23°/31°,83%,10 km,3.46 km/giờ,0.09,Kém
Đồng Tháp,11/09/2022,17:15,28°,Nhiều mây,24°/31°,87%,10 km,3.18 km/giờ,0.09,Kém
An Giang,11/09/2022,17:15,28°,Nhiều mây,24°/30°,87%,10 km,2.81 km/giờ,0.09,Rất kém
Kiên Giang,11/09/2022,17:15,26°,Nhiều mây,25°/29°,87%,10 km,5.18 km/giờ,0.56,Tốt
Cần Thơ,11/09/2022,17:15,28°,Bão,23°/30°,78%,8 km,1.54 km/giờ,0.09,Rất kém
Hậu Giang,11/09/2022,17:15,28°,Nhiều mây,24°/30°,93%,10 km,3.18 km/giờ,0.56,Khá
Sóc Trăng,11/09/2022,17:15,26°,Nhiều mây,24°/31°,89%,10 km,2.44 km/giờ,0.26,Kém
Bạc Liêu,11/09/2022,17:15,25°,Nhiều mây,24°/31°,91%,10 km,3.63 km/giờ,0.39,Tốt
Cà Mau,11/09/2022,17:15,24°,Nhiều mây,24°/31°,95%,10 km,2.7 km/giờ,0.47,Tốt
Hà Giang,11/09/2022,19:15,23°,Mây cụm,21°/31°,96%,10 km,0.46 km/giờ,0,Tốt
Cao Bằng,11/09/2022,19:15,24°,Nhiều mây,22°/29°,97%,10 km,0.79 km/giờ,0,Khá
Bắc Kạn,11/09/2022,19:15,24°,Nhiều mây,22°/30°,97%,10 km,1.31 km/giờ,0,Khá
Tuyên Quang,11/09/2022,19:15,24°,Nhiều mây,22°/28°,97%,10 km,0.96 km/giờ,0,Tốt
Thái Nguyên,11/09/2022,19:15,30°,Nhiều mây,24°/29°,86%,10 km,1.22 km/giờ,0,Rất kém
Lạng Sơn,11/09/2022,19:15,24°,Nhiều mây,22°/31°,92%,10 km,1.53 km/giờ,0,Kém
Quảng Ninh,11/09/2022,19:15,26°,Nhiều mây,23°/33°,83%,10 km,0.66 km/giờ,0,Trung bình
Bắc Giang,11/09/2022,19:15,30°,Mây cụm,24°/30°,81%,10 km,3.04 km/giờ,0,Rất kém
Phú Thọ,11/09/2022,19:15,26°,Mây cụm,23°/30°,88%,10 km,1.36 km/giờ,0,Khá
Lào Cai,11/09/2022,19:15,25°,Nhiều mây,23°/31°,95%,10 km,0.96 km/giờ,0,Tốt
Điện Biên,11/09/2022,19:15,23°,Nhiều mây,21°/28°,98%,10 km,0.89 km/giờ,0,Tốt
Lai Châu,11/09/2022,19:15,24°,Nhiều mây,22°/27°,96%,6.49 km,0.54 km/giờ,0,Tốt
Sơn La,11/09/2022,19:15,22°,Mây cụm,20°/26°,97%,10 km,1.14 km/giờ,0,Khá
Yên Bái,11/09/2022,19:15,25°,Nhiều mây,23°/29°,90%,5.36 km,0.93 km/giờ,0,Khá
Hoà Bình,11/09/2022,19:15,26°,Nhiều mây,23°/27°,89%,10 km,0.97 km/giờ,0,Khá
Hà Nội,11/09/2022,19:15,30°,Bầu trời quang đãng,24°/30°,70%,10 km,2.57 km/giờ,0,Rất kém
Vĩnh Phúc,11/09/2022,19:15,30°,Mây cụm,23°/29°,84%,10 km,2.1 km/giờ,0,Kém
Bắc Ninh,11/09/2022,19:15,30°,Mây cụm,24°/29°,83%,10 km,3.36 km/giờ,0,Rất kém
Hải Dương,11/09/2022,19:15,30°,Mây rải rác,24°/31°,87%,10 km,2.96 km/giờ,0,Rất kém
Hải Phòng,11/09/2022,19:15,30°,Mây thưa,24°/32°,74%,10 km,2.57 km/giờ,0,Rất kém
Hưng Yên,11/09/2022,19:15,26°,Mây cụm,23°/30°,87%,10 km,2.76 km/giờ,0,Rất kém
Thái Bình,11/09/2022,19:15,27°,Mây thưa,24°/30°,81%,10 km,3.08 km/giờ,0,Rất kém
Hà Nam,11/09/2022,19:15,26°,Mây cụm,23°/30°,86%,10 km,2.69 km/giờ,0,Rất kém
Nam Định,11/09/2022,19:15,26°,Mây thưa,24°/30°,83%,10 km,2.98 km/giờ,0,Rất kém
Ninh Bình,11/09/2022,19:15,26°,Mây thưa,24°/31°,83%,10 km,2.55 km/giờ,0,Rất kém
Thanh Hóa,11/09/2022,19:15,26°,Mây rải rác,24°/29°,81%,10 km,2.23 km/giờ,0,Rất kém
Nghệ An,11/09/2022,19:15,27°,Mây rải rác,24°/30°,83%,10 km,2.64 km/giờ,0,Khá
Hà Tĩnh,11/09/2022,19:15,26°,Mây rải rác,24°/31°,84%,10 km,2.47 km/giờ,0,Tốt
Quảng Bình,11/09/2022,19:15,25°,Mây cụm,23°/33°,89%,10 km,1.48 km/giờ,0,Tốt
Quảng Trị,11/09/2022,19:15,26°,Mây cụm,23°/32°,83%,10 km,1.91 km/giờ,0,Kém
Thừa Thiên Huế,11/09/2022,19:15,29°,Mây rải rác,23°/31°,79%,10 km,3.09 km/giờ,0,Kém
Đà Nẵng,11/09/2022,19:15,29°,Mây thưa,25°/30°,74%,10 km,2.06 km/giờ,0,Kém
Quảng Nam,11/09/2022,19:15,25°,Mây cụm,24°/31°,88%,10 km,1.13 km/giờ,0,Kém
Quảng Ngãi,11/09/2022,19:15,25°,Mây cụm,23°/31°,88%,10 km,1.06 km/giờ,0,Kém
Bình Định,11/09/2022,19:15,27°,Mây thưa,24°/30°,78%,10 km,2.26 km/giờ,0,Kém
Phú Yên,11/09/2022,19:15,24°,Mây rải rác,21°/32°,89%,10 km,1.09 km/giờ,0,Khá
Khánh Hòa,11/09/2022,19:15,27°,Mây rải rác,23°/32°,91%,10 km,0.29 km/giờ,0,Khá
Ninh Thuận,11/09/2022,19:15,26°,Mây cụm,24°/32°,88%,10 km,1.1 km/giờ,0,Khá
Bình Thuận,11/09/2022,19:15,24°,Nhiều mây,22°/33°,93%,10 km,0.89 km/giờ,0,Tốt
Kon Tum,11/09/2022,19:15,22°,Mây cụm,20°/29°,95%,10 km,0.76 km/giờ,0,Tốt
Gia Lai,11/09/2022,19:15,22°,Mây cụm,20°/29°,94%,10 km,0.99 km/giờ,0,Khá
Đắk Lắk,11/09/2022,19:15,22°,Mây cụm,20°/30°,97%,10 km,2.16 km/giờ,0,Tốt
Đắk Nông,11/09/2022,19:15,22°,Mây cụm,20°/30°,97%,10 km,2.16 km/giờ,0,Tốt
Lâm Đồng,11/09/2022,19:15,20°,Nhiều mây,19°/30°,99%,8.81 km,0.19 km/giờ,0,Khá
Bình Phước,11/09/2022,19:15,23°,Nhiều mây,21°/31°,96%,10 km,1.32 km/giờ,0,Tốt
Tây Ninh,11/09/2022,19:15,26°,Mây cụm,24°/32°,87%,10 km,2.88 km/giờ,0,Rất kém
Bình Dương,11/09/2022,19:15,29°,Mây cụm,24°/31°,79%,10 km,4.12 km/giờ,0,Kém
Đồng Nai,11/09/2022,19:15,29°,Nhiều mây,24°/31°,87%,10 km,3.22 km/giờ,0,Khá
Bà Rịa - Vũng Tàu,11/09/2022,19:15,26°,Mây cụm,22°/32°,86%,10 km,1.86 km/giờ,0,Tốt
Hồ Chí Minh,11/09/2022,19:15,29°,Mây cụm,24°/32°,79%,10 km,4.12 km/giờ,0,Kém
Long An,11/09/2022,19:15,26°,Mây cụm,24°/31°,92%,10 km,2.99 km/giờ,0,Kém
Tiền Giang,11/09/2022,19:15,25°,Mây cụm,23°/32°,92%,10 km,1.97 km/giờ,0,Kém
Bến Tre,11/09/2022,19:15,25°,Mây cụm,23°/32°,93%,10 km,1.68 km/giờ,0,Kém
Trà Vinh,11/09/2022,19:15,26°,Nhiều mây,23°/32°,92%,10 km,1.94 km/giờ,0,Rất kém
Vĩnh Long,11/09/2022,19:15,24°,Nhiều mây,23°/31°,91%,10 km,2.47 km/giờ,0,Kém
Đồng Tháp,11/09/2022,19:15,24°,Nhiều mây,24°/31°,91%,10 km,2.92 km/giờ,0,Rất kém
An Giang,11/09/2022,19:15,24°,Nhiều mây,24°/30°,90%,10 km,2.75 km/giờ,0,Kém
Kiên Giang,11/09/2022,19:15,26°,Mưa nhẹ,25°/29°,87%,10 km,5.03 km/giờ,0,Tốt
Cần Thơ,11/09/2022,19:15,24°,Mây cụm,23°/30°,100%,7 km,1.54 km/giờ,0,Rất kém
Hậu Giang,11/09/2022,19:15,24°,Nhiều mây,24°/30°,95%,10 km,2.74 km/giờ,0,Kém
Sóc Trăng,11/09/2022,19:15,25°,Nhiều mây,24°/31°,94%,10 km,2.35 km/giờ,0,Kém
Bạc Liêu,11/09/2022,19:15,25°,Nhiều mây,24°/31°,93%,10 km,3.3 km/giờ,0,Tốt
Cà Mau,11/09/2022,19:15,24°,Nhiều mây,24°/31°,96%,10 km,1.53 km/giờ,0,Tốt
Hà Giang,11/09/2022,20:15,23°,Nhiều mây,21°/29°,97%,10 km,0.94 km/giờ,0,Tốt
Cao Bằng,11/09/2022,20:15,23°,Nhiều mây,22°/29°,97%,10 km,0.75 km/giờ,0,Khá
Bắc Kạn,11/09/2022,20:15,23°,Nhiều mây,22°/29°,98%,10 km,1.39 km/giờ,0,Khá
Tuyên Quang,11/09/2022,20:15,23°,Nhiều mây,22°/30°,98%,7.59 km,1 km/giờ,0,Tốt
Thái Nguyên,11/09/2022,20:15,29°,Nhiều mây,23°/30°,87%,10 km,1.17 km/giờ,0,Rất kém
Lạng Sơn,11/09/2022,20:15,24°,Nhiều mây,22°/31°,93%,10 km,1.49 km/giờ,0,Kém
Quảng Ninh,11/09/2022,20:15,26°,Nhiều mây,24°/33°,81%,10 km,0.58 km/giờ,0,Kém
Bắc Giang,11/09/2022,20:15,29°,Nhiều mây,23°/29°,80%,10 km,2.68 km/giờ,0,Rất kém
Phú Thọ,11/09/2022,20:15,25°,Nhiều mây,22°/29°,92%,10 km,1.55 km/giờ,0,Khá
Lào Cai,11/09/2022,20:15,24°,Nhiều mây,22°/31°,98%,10 km,0.73 km/giờ,0,Tốt
Điện Biên,11/09/2022,20:15,23°,Nhiều mây,22°/28°,99%,10 km,1.08 km/giờ,0,Tốt
Lai Châu,11/09/2022,20:15,24°,Nhiều mây,22°/29°,97%,10 km,0.8 km/giờ,0,Tốt
Sơn La,11/09/2022,20:15,22°,Nhiều mây,20°/27°,98%,10 km,0.87 km/giờ,0,Khá
Yên Bái,11/09/2022,20:15,25°,Nhiều mây,22°/29°,93%,5.84 km,1.34 km/giờ,0,Khá
Hoà Bình,11/09/2022,20:15,26°,Nhiều mây,23°/29°,90%,10 km,1.22 km/giờ,0,Khá
Hà Nội,11/09/2022,20:15,29°,Bầu trời quang đãng,23°/29°,79%,10 km,3.09 km/giờ,0,Rất kém
Vĩnh Phúc,11/09/2022,20:15,29°,Nhiều mây,23°/29°,84%,9.85 km,2.01 km/giờ,0,Kém
Bắc Ninh,11/09/2022,20:15,29°,Nhiều mây,23°/29°,84%,10 km,3.15 km/giờ,0,Rất kém
Hải Dương,11/09/2022,20:15,30°,Mây cụm,23°/30°,83%,10 km,2.65 km/giờ,0,Rất kém
Hải Phòng,11/09/2022,20:15,30°,Mây thưa,24°/31°,74%,10 km,2.06 km/giờ,0,Rất kém
Hưng Yên,11/09/2022,20:15,26°,Nhiều mây,23°/27°,86%,10 km,2.42 km/giờ,0,Rất kém
Thái Bình,11/09/2022,20:15,27°,Mây thưa,24°/30°,78%,10 km,2.93 km/giờ,0,Rất kém
Hà Nam,11/09/2022,20:15,26°,Nhiều mây,23°/27°,86%,10 km,2.3 km/giờ,0,Rất kém
Nam Định,11/09/2022,20:15,26°,Mây rải rác,24°/29°,81%,10 km,2.72 km/giờ,0,Rất kém
Ninh Bình,11/09/2022,20:15,25°,Nhiều mây,24°/28°,82%,10 km,2.32 km/giờ,0,Rất kém
Thanh Hóa,11/09/2022,20:15,26°,Nhiều mây,24°/31°,80%,10 km,1.9 km/giờ,0,Rất kém
Nghệ An,11/09/2022,20:15,27°,Mây thưa,24°/30°,83%,10 km,2.49 km/giờ,0,Khá
Hà Tĩnh,11/09/2022,20:15,26°,Bầu trời quang đãng,24°/31°,85%,10 km,2.32 km/giờ,0,Khá
Quảng Bình,11/09/2022,20:15,25°,Bầu trời quang đãng,23°/32°,91%,10 km,1.04 km/giờ,0,Tốt
Quảng Trị,11/09/2022,20:15,26°,Bầu trời quang đãng,23°/32°,84%,10 km,1.47 km/giờ,0,Kém
Thừa Thiên Huế,11/09/2022,20:15,29°,Mây rải rác,23°/31°,79%,10 km,1.54 km/giờ,0,Kém
Đà Nẵng,11/09/2022,20:15,29°,Mây thưa,25°/30°,74%,10 km,2.06 km/giờ,0,Kém
Quảng Nam,11/09/2022,20:15,25°,Mây rải rác,24°/30°,89%,10 km,0.51 km/giờ,0,Kém
Quảng Ngãi,11/09/2022,20:15,25°,Bầu trời quang đãng,23°/31°,90%,10 km,1.52 km/giờ,0,Kém
Bình Định,11/09/2022,20:15,27°,Mây cụm,25°/29°,80%,10 km,2.58 km/giờ,0,Kém
Phú Yên,11/09/2022,20:15,23°,Mây rải rác,22°/32°,90%,10 km,0.61 km/giờ,0,Khá
Khánh Hòa,11/09/2022,20:15,26°,Mây cụm,24°/32°,92%,10 km,0.49 km/giờ,0,Trung bình
Ninh Thuận,11/09/2022,20:15,26°,Mây rải rác,24°/31°,87%,10 km,0.64 km/giờ,0,Khá
Bình Thuận,11/09/2022,20:15,23°,Nhiều mây,21°/33°,95%,10 km,0.63 km/giờ,0,Tốt
Kon Tum,11/09/2022,20:15,21°,Mây thưa,19°/29°,95%,10 km,0.75 km/giờ,0,Tốt
Gia Lai,11/09/2022,20:15,22°,Mây thưa,20°/29°,94%,10 km,0.7 km/giờ,0,Khá
Đắk Lắk,11/09/2022,20:15,21°,Mây rải rác,19°/30°,98%,10 km,1.93 km/giờ,0,Tốt
Đắk Nông,11/09/2022,20:15,21°,Mây rải rác,19°/30°,98%,10 km,1.93 km/giờ,0,Tốt
Lâm Đồng,11/09/2022,20:15,20°,Nhiều mây,18°/30°,99%,6.69 km,0.17 km/giờ,0,Khá
Bình Phước,11/09/2022,20:15,23°,Mây cụm,22°/31°,96%,10 km,1.19 km/giờ,0,Tốt
Tây Ninh,11/09/2022,20:15,26°,Nhiều mây,24°/32°,86%,10 km,2.87 km/giờ,0,Rất kém
Bình Dương,11/09/2022,20:15,29°,Mây rải rác,23°/33°,79%,10 km,4.12 km/giờ,0,Kém
Đồng Nai,11/09/2022,20:15,29°,Nhiều mây,23°/33°,88%,10 km,3.11 km/giờ,0,Khá
Bà Rịa - Vũng Tàu,11/09/2022,20:15,25°,Mây cụm,22°/32°,89%,6.5 km,1.93 km/giờ,0,Tốt
Hồ Chí Minh,11/09/2022,20:15,29°,Mây rải rác,23°/33°,79%,10 km,4.12 km/giờ,0,Rất kém
Long An,11/09/2022,20:15,25°,Nhiều mây,23°/33°,91%,10 km,2.73 km/giờ,0,Kém
Tiền Giang,11/09/2022,20:15,25°,Nhiều mây,23°/33°,94%,10 km,1.81 km/giờ,0,Kém
Bến Tre,11/09/2022,20:15,25°,Mây cụm,23°/33°,95%,10 km,1.61 km/giờ,0,Kém
Trà Vinh,11/09/2022,20:15,25°,Nhiều mây,23°/32°,92%,10 km,1.79 km/giờ,0,Rất kém
Vĩnh Long,11/09/2022,20:15,24°,Nhiều mây,23°/33°,92%,10 km,2.63 km/giờ,0,Rất kém
Đồng Tháp,11/09/2022,20:15,24°,Nhiều mây,23°/33°,91%,10 km,3.39 km/giờ,0,Rất kém
An Giang,11/09/2022,20:15,24°,Nhiều mây,23°/33°,91%,10 km,3.12 km/giờ,0,Kém
Kiên Giang,11/09/2022,20:15,26°,Mưa nhẹ,24°/30°,87%,10 km,3.3 km/giờ,0,Tốt
Cần Thơ,11/09/2022,20:15,23°,Mây cụm,23°/32°,100%,8 km,0.51 km/giờ,0,Rất kém
Hậu Giang,11/09/2022,20:15,24°,Nhiều mây,23°/31°,94%,10 km,2.3 km/giờ,0,Kém
Sóc Trăng,11/09/2022,20:15,25°,Nhiều mây,24°/32°,94%,10 km,2.45 km/giờ,0,Rất kém
Bạc Liêu,11/09/2022,20:15,25°,Nhiều mây,24°/31°,91%,10 km,2.93 km/giờ,0,Khá
Cà Mau,11/09/2022,20:15,24°,Nhiều mây,23°/32°,94%,10 km,1.62 km/giờ,0,Tốt
